variant,leverage,gate_bars,body_atr_mult,short_tp_return_pct,sr_entry_mode,long_block_threshold,short_block_threshold,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,short_sweep_events,gated_entries,blocked_short_gate,blocked_long_smc,blocked_short_smc,blocked_long_sr,blocked_short_sr,survived_to_end,first_liquidation_ts,delta_cagr_vs_115,delta_mdd_vs_115,delta_calmar_vs_115,delta_cagr_vs_84,delta_mdd_vs_84,delta_calmar_vs_84,meets_target
lv2p0_g12_body25_tp15_lb5_none,2.0,12,0.25,15.0,none,5,0,57330.52769627472,5633.052769627472,117.94248615128069,52.32060938821165,2.254226155436452,123,70,53,12,86,24,0,24,45486,719,53,18288,3649,0,0,0,1,,8.431939030756695,0.0,0.16115903712422153,6.840126190225249,-9.805123114956231,0.4658792742887705,False
lv2p25_g8_body20_tp15_lb5_none,2.25,8,0.2,15.0,none,5,0,65774.30185578325,6477.430185578325,123.78111493517298,55.853839050087394,2.2161612709230467,123,70,53,12,84,26,0,26,46527,761,53,19384,3649,0,0,0,1,,14.270567814648984,3.533229661875744,0.12309415261081602,12.678754974117538,-6.271893453080487,0.427814389775365,False
lv2p25_g8_body25_tp15_lb5_none,2.25,8,0.25,15.0,none,5,0,65554.75307839687,6455.475307839687,123.63719335210006,55.853839050087394,2.2135845172831785,123,70,53,12,84,26,0,26,46283,719,53,19811,3649,0,0,0,1,,14.12664623157606,3.533229661875744,0.12051739897094782,12.534833391044614,-6.271893453080487,0.4252376361354968,False
lv2p25_g12_body25_tp15_lb5_none,2.25,12,0.25,15.0,none,5,0,63167.850362093464,6216.785036209347,122.04682951355812,55.853839050087394,2.1851108462591373,123,70,53,12,85,25,0,25,46778,719,53,18288,3649,0,0,0,1,,12.536282393034128,3.533229661875744,0.09204372794690663,10.944469552502682,-6.271893453080487,0.3967639651114556,False
lv2p25_g12_body20_tp15_lb5_none,2.25,12,0.2,15.0,none,5,0,62898.27755753481,6189.827755753481,121.86418114376937,55.853839050087394,2.18184073317658,123,70,53,12,85,25,0,25,47051,761,53,17534,3649,0,0,0,1,,12.353634023245377,3.533229661875744,0.08877361486434943,10.76182118271393,-6.271893453080487,0.3934938520288984,False
lv2p0_g12_body20_tp15_lb5_long_above_red_avg,2.0,12,0.2,15.0,long_above_red_avg,5,0,53588.76279039453,5258.876279039453,115.13038656692332,53.25969184509767,2.161679547485414,121,68,53,12,84,24,0,24,45520,761,53,17534,3156,0,936,0,1,,5.619839446399325,0.9390824568860197,0.06861242917318311,4.028026605867879,-8.866040658070212,0.3733326663377321,False
lv2p5_g8_body25_tp20_lb5_long_above_red_avg,2.5,8,0.25,20.0,long_above_red_avg,5,0,75700.97484275633,7470.097484275634,129.91617311260308,60.4032327010618,2.15081490349306,121,68,53,13,84,23,0,23,43837,719,53,19816,3156,0,936,0,1,,20.40562599207908,8.082623312850153,0.057747785180829236,18.813813151547635,-1.7224998021060784,0.3624680223453782,False
lv2p0_g12_body25_tp15_lb5_long_above_red_avg,2.0,12,0.25,15.0,long_above_red_avg,5,0,52514.89660362459,5151.489660362459,114.29408586968965,53.25969184509767,2.145977227996484,121,68,53,12,84,24,0,24,45486,719,53,18288,3156,0,936,0,1,,4.783538749165658,0.9390824568860197,0.05291010968425347,3.1917259086342114,-8.866040658070212,0.35763034684880246,False
lv2p25_g8_body20_tp15_lb5_long_above_red_avg,2.25,8,0.2,15.0,long_above_red_avg,5,0,59610.4728337969,5861.047283379689,119.58404541439438,57.01212460650349,2.097519540619842,121,68,53,12,82,26,0,26,46527,761,53,19384,3156,0,936,0,1,,10.073498293870387,4.6915152182918405,0.004452422307611226,8.48168545333894,-5.113607896664391,0.3091726594721602,False
lv2p0_g8_body20_tp15_lb5_none,2.0,8,0.2,15.0,none,5,0,46887.71174748824,4588.771174748824,109.67120557406234,52.32060938821165,2.0961377716440044,123,70,53,13,85,24,0,24,44808,761,53,19389,3649,0,0,0,1,,0.16065845353834618,0.0,0.0030706533317736984,-1.4311543869931,-9.805123114956231,0.3077908904963227,False
lv2p25_g8_body25_tp15_lb5_long_above_red_avg,2.25,8,0.25,15.0,long_above_red_avg,5,0,59411.498370202025,5841.1498370202025,119.44282311579806,57.01212460650349,2.0950424833347285,121,68,53,12,82,26,0,26,46283,719,53,19811,3156,0,936,0,1,,9.932275995274068,4.6915152182918405,0.0019753650224978436,8.340463154742622,-5.113607896664391,0.30669560218704683,False
reference_115_best,2.0,8,0.25,15.0,none,5,0,46701.295432979336,4570.129543297933,109.510547120524,52.32060938821165,2.0930671183122307,123,70,53,13,85,24,0,24,44777,719,53,19816,3649,0,0,0,1,,0.0,0.0,0.0,-1.5918128405314462,-9.805123114956231,0.304720237164549,False
lv2p0_g8_body25_tp15_lb5_none,2.0,8,0.25,15.0,none,5,0,46701.295432979336,4570.129543297933,109.510547120524,52.32060938821165,2.0930671183122307,123,70,53,13,85,24,0,24,44777,719,53,19816,3649,0,0,0,1,,0.0,0.0,0.0,-1.5918128405314462,-9.805123114956231,0.304720237164549,False
lv2p25_g12_body25_tp15_lb5_long_above_red_avg,2.25,12,0.25,15.0,long_above_red_avg,5,0,57248.276632948226,5624.827663294823,117.8822869398612,57.01212460650349,2.067670478051508,121,68,53,12,83,25,0,25,46778,719,53,18288,3156,0,936,0,1,,8.371739819337208,4.6915152182918405,-0.025396640260722858,6.7799269788057615,-5.113607896664391,0.27932359690382613,False
lv2p25_g12_body20_tp15_lb5_long_above_red_avg,2.25,12,0.2,15.0,long_above_red_avg,5,0,57003.96598441992,5600.396598441992,117.70306418490182,57.01212460650349,2.0645268878731664,121,68,53,12,83,25,0,25,47051,761,53,17534,3156,0,936,0,1,,8.192517064377824,4.6915152182918405,-0.028540230439064285,6.600704223846378,-5.113607896664391,0.2761800067254847,False
lv2p5_g8_body20_tp15_lb5_none,2.5,8,0.2,15.0,none,5,0,57151.920540917716,5615.192054091772,117.81167540888009,59.044809024174846,1.9952926828951922,123,70,53,12,84,26,0,26,48992,761,53,19384,3649,0,0,0,1,,8.301128288356097,6.7241996359631955,-0.09777443541703845,6.70931544782465,-3.0809234789930358,0.20694580174751054,False
lv2p0_g8_body20_tp15_lb5_long_above_red_avg,2.0,8,0.2,15.0,long_above_red_avg,5,0,42949.25292585257,4194.925292585257,106.16126816366243,53.25969184509767,1.9932760495953588,121,68,53,13,83,24,0,24,44808,761,53,19389,3156,0,936,0,1,,-3.3492789568615677,0.9390824568860197,-0.09979106871687193,-4.941091797393014,-8.866040658070212,0.20492916844767706,False
lv2p0_g8_body25_tp15_lb5_long_above_red_avg,2.0,8,0.25,15.0,long_above_red_avg,5,0,42778.4951485384,4177.84951485384,106.00329916438098,53.25969184509767,1.9903100354520382,121,68,53,13,83,24,0,24,44777,719,53,19816,3156,0,936,0,1,,-3.5072479561430185,0.9390824568860197,-0.10275708286019247,-5.099060796674465,-8.866040658070212,0.20196315430435652,False
lv2p5_g8_body25_tp15_lb5_none,2.5,8,0.25,15.0,none,5,0,56079.893087118646,5507.989308711865,117.01951667916077,59.044809024174846,1.98187645303839,123,70,53,12,84,26,0,26,48775,719,53,19811,3649,0,0,0,1,,7.508969558636778,6.7241996359631955,-0.11119066527384058,5.917156718105332,-3.0809234789930358,0.1935295718907084,False
lv2p5_g12_body25_tp15_lb5_none,2.5,12,0.25,15.0,none,5,0,54310.358880031345,5331.0358880031345,115.68477614733119,59.044809024174846,1.9592709005116118,123,70,53,12,85,25,0,25,49226,719,53,18288,3649,0,0,0,1,,6.174229026807197,6.7241996359631955,-0.1337962178006189,4.582416186275751,-3.0809234789930358,0.1709240193639301,False
lv2p5_g12_body20_tp15_lb5_none,2.5,12,0.2,15.0,none,5,0,54062.2262482443,5306.22262482443,115.4948149237681,59.044809024174846,1.9560536621683509,123,70,53,12,85,25,0,25,49474,761,53,17534,3649,0,0,0,1,,5.984267803244109,6.7241996359631955,-0.13701345614387983,4.392454962712662,-3.0809234789930358,0.16770678102066916,False
lv2p5_g8_body20_tp15_lb5_long_above_red_avg,2.5,8,0.2,15.0,long_above_red_avg,5,0,51249.41022029693,5024.941022029693,113.2906399099308,60.4032327010618,1.8755724626629018,121,68,53,12,82,26,0,26,48992,761,53,19384,3156,0,936,0,1,,3.780092789406808,8.082623312850153,-0.2174946556493289,2.188279948875362,-1.7224998021060784,0.08722558151522009,False
lv2p5_g8_body25_tp15_lb5_long_above_red_avg,2.5,8,0.25,15.0,long_above_red_avg,5,0,50288.09913525934,4928.8099135259345,112.51492372274798,60.4032327010618,1.8627301667708611,121,68,53,12,82,26,0,26,48775,719,53,19811,3156,0,936,0,1,,3.004376602223985,8.082623312850153,-0.23033695154136957,1.4125637616925388,-1.7224998021060784,0.07438328562317942,False
lv2p5_g12_body25_tp15_lb5_long_above_red_avg,2.5,12,0.25,15.0,long_above_red_avg,5,0,48701.31808539181,4770.131808539181,111.20788790103076,60.4032327010618,1.8410916589746675,121,68,53,12,83,25,0,25,49226,719,53,18288,3156,0,936,0,1,,1.6973407805067637,8.082623312850153,-0.25197545933756316,0.10552793997531751,-1.7224998021060784,0.052744777826985834,False
lv2p5_g12_body20_tp15_lb5_long_above_red_avg,2.5,12,0.2,15.0,long_above_red_avg,5,0,48478.81198384456,4747.881198384456,111.02186963155192,60.4032327010618,1.8380120511265337,121,68,53,12,83,25,0,25,49474,761,53,17534,3156,0,936,0,1,,1.5113225110279274,8.082623312850153,-0.25505506718569704,-0.08049032950351886,-1.7224998021060784,0.04966516997885195,False
lv3p0_g8_body25_tp15_lb5_none,3.0,8,0.25,15.0,none,5,0,56439.85793716463,5543.9857937164625,117.28686074465418,64.79040333645148,1.8102505109528755,123,70,53,12,83,27,0,27,50772,719,53,19811,3649,0,0,0,1,,7.776313624130182,12.469793948239825,-0.2828166073593552,6.184500783598736,2.664670833283594,0.02190362980519378,False
lv3p0_g8_body20_tp15_lb5_none,3.0,8,0.2,15.0,none,5,0,56202.19333060334,5520.219333060333,117.11050348391345,64.79040333645148,1.8075285451730838,123,70,53,12,83,27,0,27,50966,761,53,19384,3649,0,0,0,1,,7.5999563633894525,12.469793948239825,-0.2855385731391469,6.008143522858006,2.664670833283594,0.019181664025402112,False
reference_84_best,2.0,12,0.25,15.0,none,0,0,48574.98965490287,4757.498965490287,111.10235996105544,62.12573250316788,1.7883468811476817,145,92,53,11,109,24,0,24,45486,719,53,18288,0,0,0,0,1,,1.5918128405314462,9.805123114956231,-0.304720237164549,0.0,0.0,0.0,False
lv3p0_g8_body25_tp15_lb5_long_above_red_avg,3.0,8,0.25,15.0,long_above_red_avg,5,0,49554.649144000745,4855.464914400074,111.91498200328418,66.4767800904496,1.6835198974891759,121,68,53,12,81,27,0,27,50772,719,53,19811,3156,0,936,0,1,,2.404434882760185,14.156170702237944,-0.40954722082305484,0.8126220422287389,4.3510475872817125,-0.10482698365850585,False
lv2p25_g8_body20_tp20_lb5_none,2.25,8,0.2,20.0,none,5,0,48339.89473218476,4733.989473218476,110.90538292873559,65.9719232667043,1.6810997381473793,123,70,53,14,88,20,0,20,41619,761,53,19402,3649,0,0,0,1,,1.394835808211596,13.651313878492644,-0.41196738016485135,-0.1969770323198503,3.8461907635364128,-0.10724714300030236,False
lv3p0_g8_body20_tp15_lb5_long_above_red_avg,3.0,8,0.2,15.0,long_above_red_avg,5,0,49345.97770820087,4834.597770820087,111.74298473843382,66.4767800904496,1.680932569032287,121,68,53,12,81,27,0,27,50966,761,53,19384,3156,0,936,0,1,,2.2324376179098238,14.156170702237944,-0.41213454927994375,0.6406247773783775,4.3510475872817125,-0.10741431211539476,False
lv2p25_g8_body25_tp20_lb5_none,2.25,8,0.25,20.0,none,5,0,48297.804050826984,4729.780405082698,110.87003514005636,65.9719232667043,1.6805639376594,123,70,53,14,88,20,0,20,41603,719,53,19829,3649,0,0,0,1,,1.359488019532364,13.651313878492644,-0.41250318065283076,-0.23232482099908225,3.8461907635364128,-0.10778294348828177,False
lv2p25_g12_body20_tp20_lb5_none,2.25,12,0.2,20.0,none,5,0,48241.50445095435,4724.150445095435,110.82271577703557,65.9719232667043,1.6798466724854033,123,70,53,13,90,19,0,19,41280,761,53,17547,3649,0,0,0,1,,1.3121686565115738,13.651313878492644,-0.4132204458268274,-0.27964418401987245,3.8461907635364128,-0.10850020866227839,False
lv2p25_g12_body25_tp20_lb5_none,2.25,12,0.25,20.0,none,5,0,47865.755970970844,4686.575597097085,110.50575497645414,65.9719232667043,1.6750421922628085,123,70,53,13,90,19,0,19,41110,719,53,18301,3649,0,0,0,1,,0.9952078559301469,13.651313878492644,-0.4180249260494222,-0.5966049846012993,3.8461907635364128,-0.11330468888487322,False
lv2p25_g8_body20_tp20_lb5_long_above_red_avg,2.25,8,0.2,20.0,long_above_red_avg,5,0,43809.87559608935,4280.987559608935,106.94980090960588,66.86473543756357,1.5994948639178066,121,68,53,14,86,20,0,20,41619,761,53,19402,3156,0,936,0,1,,-2.5607462109181114,14.544126049351917,-0.4935722543944241,-4.152559051449558,4.739002934395685,-0.1888520172298751,False
lv2p25_g8_body25_tp20_lb5_long_above_red_avg,2.25,8,0.25,20.0,long_above_red_avg,5,0,43771.7293087577,4277.172930875769,106.91511607734529,66.86473543756357,1.5989761326010128,121,68,53,14,86,20,0,20,41603,719,53,19829,3156,0,936,0,1,,-2.5954310431787064,14.544126049351917,-0.4940909857112179,-4.187243883710153,4.739002934395685,-0.1893707485466689,False
lv2p25_g12_body20_tp20_lb5_long_above_red_avg,2.25,12,0.2,20.0,long_above_red_avg,5,0,43720.705646414324,4272.070564641433,106.86868420054662,66.86473543756357,1.5982817175779844,121,68,53,13,88,19,0,19,41280,761,53,17547,3156,0,936,0,1,,-2.6418629199773704,14.544126049351917,-0.49478540073424626,-4.233675760508817,4.739002934395685,-0.19006516356969727,False
lv2p25_g12_body25_tp20_lb5_long_above_red_avg,2.25,12,0.25,20.0,long_above_red_avg,5,0,43380.169237415204,4238.01692374152,106.55766807727093,66.86473543756357,1.5936302952513963,121,68,53,13,88,19,0,19,41110,719,53,18301,3156,0,936,0,1,,-2.9528790432530627,14.544126049351917,-0.49943682306083437,-4.544691883784509,4.739002934395685,-0.19471658589628538,False
lv2p0_g12_body25_tp20_lb5_none,2.0,12,0.25,20.0,none,5,0,26224.94297903104,2522.494297903104,87.49238388219706,62.11082974916087,1.4086494132430922,124,70,54,14,93,16,0,16,36274,719,54,18424,3649,0,0,0,1,,-22.018163238326935,9.79022036094922,-0.6844177050691385,-23.60997607885838,-0.014902754007010799,-0.37969746790458947,False
lv2p0_g12_body20_tp20_lb5_none,2.0,12,0.2,20.0,none,5,0,25907.772241551513,2490.777224155151,87.0539187893264,62.11082974916087,1.4015900148315523,124,70,54,14,93,16,0,16,36295,761,54,17670,3649,0,0,0,1,,-22.456628331197592,9.79022036094922,-0.6914771034806784,-24.04844117172904,-0.014902754007010799,-0.3867568663161294,False
lv2p0_g12_body25_tp20_lb5_long_above_red_avg,2.0,12,0.25,20.0,long_above_red_avg,5,0,24022.108714503498,2302.2108714503497,84.35372432924895,62.857086247660106,1.341992277479917,122,68,54,14,91,16,0,16,36274,719,54,18424,3156,0,936,0,1,,-25.156822791275047,10.536476859448456,-0.7510748408323138,-26.748635631806494,0.7313537444922247,-0.4463546036677648,False
lv2p0_g12_body20_tp20_lb5_long_above_red_avg,2.0,12,0.2,20.0,long_above_red_avg,5,0,23731.579581880218,2273.157958188022,83.92259922866954,62.857086247660106,1.3351334628845226,122,68,54,14,91,16,0,16,36295,761,54,17670,3156,0,936,0,1,,-25.587947891854455,10.536476859448456,-0.7579336554277081,-27.1797607323859,0.7313537444922247,-0.4532134182631591,False
lv2p0_g8_body25_tp20_lb5_none,2.0,8,0.25,20.0,none,5,0,21359.0613760467,2035.90613760467,80.2325043957413,62.11082974916087,1.29176352529448,124,70,54,15,92,16,0,16,36274,719,54,20090,3649,0,0,0,1,,-29.278042724782694,9.79022036094922,-0.8013035930177508,-30.86985556531414,-0.014902754007010799,-0.4965833558532018,False
lv2p0_g8_body20_tp20_lb5_none,2.0,8,0.2,20.0,none,5,0,21157.98486360152,2015.798486360152,79.90477828618148,62.11082974916087,1.286487052401051,124,70,54,15,92,16,0,16,36294,761,54,19663,3649,0,0,0,1,,-29.605768834342513,9.79022036094922,-0.8065800659111797,-31.19758167487396,-0.014902754007010799,-0.5018598287466307,False
lv2p0_g8_body25_tp20_lb5_long_above_red_avg,2.0,8,0.25,20.0,long_above_red_avg,5,0,19564.949858057,1856.4949858056998,77.2153766598814,62.857086247660106,1.2284275531902467,122,68,54,15,90,16,0,16,36274,719,54,20090,3156,0,936,0,1,,-32.295170460642595,10.536476859448456,-0.864639565121984,-33.88698330117404,0.7313537444922247,-0.559919327957435,False
lv2p0_g8_body20_tp20_lb5_long_above_red_avg,2.0,8,0.2,20.0,long_above_red_avg,5,0,19380.763305363504,1838.0763305363505,76.89313675015129,62.857086247660106,1.2233010045548154,122,68,54,15,90,16,0,16,36294,761,54,19663,3156,0,936,0,1,,-32.61741037037271,10.536476859448456,-0.8697661137574153,-34.209223210904156,0.7313537444922247,-0.5650458765928663,False
lv2p0_g12_body20_tp15_lb4_none,2.0,12,0.2,15.0,none,4,0,7055.502296044279,605.550229604428,45.63659016916011,56.564037182300375,0.8068128168093418,101,48,53,18,58,24,0,24,45520,761,53,17534,29765,0,0,0,1,,-63.87395695136389,4.243427794088724,-1.2862543015028889,-65.46576979189533,-5.561695320867507,-0.9815340643383399,False
lv2p5_g12_body20_tp20_lb4_none,2.5,12,0.2,20.0,none,4,0,8683.47949092193,768.3479490921931,51.57230999788527,64.00107629692462,0.8058037924022134,101,48,53,18,59,23,0,23,44968,761,53,17534,29765,0,0,0,1,,-57.938237122638725,11.680466908712972,-1.2872633259100172,-59.53004996317017,1.8753437937567412,-0.9825430887454683,False
lv2p5_g12_body25_tp20_lb4_none,2.5,12,0.25,20.0,none,4,0,8519.438988604965,751.9438988604965,51.01710042815337,64.00107629692462,0.7971287887638984,101,48,53,18,59,23,0,23,44815,719,53,18288,29765,0,0,0,1,,-58.493446692370625,11.680466908712972,-1.2959383295483322,-60.08525953290207,1.8753437937567412,-0.9912180923837833,False
lv2p0_g12_body25_tp15_lb4_none,2.0,12,0.25,15.0,none,4,0,6914.11695792713,591.411695792713,45.07044057102645,56.564037182300375,0.7968038141579042,101,48,53,18,58,24,0,24,45486,719,53,18288,29765,0,0,0,1,,-64.44010654949754,4.243427794088724,-1.2962633041543263,-66.03191939002899,-5.561695320867507,-0.9915430669897775,False
lv2p25_g8_body20_tp15_lb4_none,2.25,8,0.2,15.0,none,4,0,6513.882233085141,551.3882233085142,43.41545761923244,63.64361509689267,0.6821651716851037,101,48,53,18,56,26,0,26,46527,761,53,19384,29765,0,0,0,1,,-66.09508950129155,11.323005708681016,-1.4109019466271269,-67.686902341823,1.517882593724785,-1.1061817094625779,False
lv2p25_g8_body25_tp15_lb4_none,2.25,8,0.25,15.0,none,4,0,6492.139472767462,549.2139472767462,43.32322204473513,63.64361509689267,0.6807159206587927,101,48,53,18,56,26,0,26,46283,719,53,19811,29765,0,0,0,1,,-66.18732507578886,11.323005708681016,-1.412351197653438,-67.77913791632031,1.517882593724785,-1.107630960488889,False
lv2p0_g8_body20_tp15_lb4_none,2.0,8,0.2,15.0,none,4,0,5654.703278315934,465.47032783159335,39.56477557374478,61.08295401668875,0.6477220398171167,101,48,53,19,57,24,0,24,44808,761,53,19389,29765,0,0,0,1,,-69.94577154677921,8.762344628477102,-1.445345078495114,-71.53758438731066,-1.0427784864791292,-1.140624841330565,False
lv2p0_g8_body25_tp15_lb4_none,2.0,8,0.25,15.0,none,4,0,5632.22129091459,463.22212909145895,39.457835467445015,61.08295401668875,0.6459713041491831,101,48,53,19,57,24,0,24,44777,719,53,19816,29765,0,0,0,1,,-70.05271165307897,8.762344628477102,-1.4470958141630477,-71.64452449361042,-1.0427784864791292,-1.1423755769984987,False
