variant,source_group,case3_name,case3_source_variant,w1,w2,w3,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,ref85_cagr_pct,ref85_mdd_pct,ref116_cagr_pct,ref116_mdd_pct,delta_cagr_vs_85,delta_mdd_vs_85,delta_calmar_vs_85,delta_cagr_vs_116,delta_mdd_vs_116,delta_calmar_vs_116,dominates_116,dominates_85,beats_116_cagr
lv3p0_g12_body25_tp20_lb5_none_case3_w50_37_13,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.37,0.13,58935.00463684963,2846.7502318424818,127.56377637482079,46.05193813766092,2.76999799646869,9018,330.118155302821,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,5.606036682725474,0.9402628509364561,0.06653511425590608,5.004281758913365,1.8299073092919755,-0.001459856554290262,False,False,True
lv3p0_g12_body20_tp20_lb5_none_case3_w50_37_13,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.5,0.37,0.13,58895.703762357014,2844.785188117851,127.52688608731155,46.05193813766092,2.7691969381636308,9018,330.6049645400268,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,5.5691463952162366,0.9402628509364561,0.06573405595084703,4.967391471404127,1.8299073092919755,-0.0022609148593493167,False,False,True
lv3p0_g8_body20_tp20_lb5_none_case3_w50_35_15,study117_live,lv3p0_g8_body20_tp20_lb5_none_case3,lv3p0_g8_body20_tp20_lb5_none,0.5,0.35,0.15,56950.33624860531,2747.5168124302654,125.67709376623264,45.40947246387466,2.767640471186152,9018,329.34537852745876,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.7193540741373283,0.29779717715019416,0.06417758897336823,3.117599150325219,1.1874416355057136,-0.0038173818368281154,False,False,True
lv2p5_g12_body20_tp20_lb5_none_case3_w52_35_13,study117_live,lv2p5_g12_body20_tp20_lb5_none_case3,lv2p5_g12_body20_tp20_lb5_none,0.52,0.35,0.13,56587.22279671713,2729.361139835856,125.32654003502262,45.28741042640354,2.7673593799029526,9018,310.625256680068,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.368800342927301,0.17573513967907672,0.06389649769016881,2.767045419115192,1.0653795980345961,-0.004098473120027535,False,False,True
lv3p0_g8_body25_tp20_lb5_none_case3_w50_35_15,study117_live,lv3p0_g8_body25_tp20_lb5_none_case3,lv3p0_g8_body25_tp20_lb5_none,0.5,0.35,0.15,56902.466892704135,2745.1233446352066,125.63097715834704,45.40947246387466,2.766624898765171,9018,328.9459998057455,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.67323746625172,0.29779717715019416,0.06316201655238718,3.071482542439611,1.1874416355057136,-0.004832954257809163,False,False,True
lv2p5_g12_body20_tp20_lb5_none_case3_w56_31_13,study117_live,lv2p5_g12_body20_tp20_lb5_none_case3,lv2p5_g12_body20_tp20_lb5_none,0.56,0.30999999999999994,0.13,56064.98578145399,2703.2492890726994,124.81936887515621,45.12258083941488,2.7662284947612226,9018,304.29689048507726,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.8616291830608986,0.010905552690417153,0.06276561254843882,2.2598742592487895,0.9005500110459366,-0.005229358261757522,False,False,True
lv2p5_g12_body25_tp20_lb5_none_case3_w54_33_13,study117_live,lv2p5_g12_body25_tp20_lb5_none_case3,lv2p5_g12_body25_tp20_lb5_none,0.54,0.32999999999999996,0.13,56214.77800814323,2710.7389004071615,124.96520427586302,45.19753210057953,2.764867869284852,9018,307.4881927376987,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.0074645837676997,0.0858568138550666,0.061404987072068096,2.4057096599555905,0.975501272210586,-0.006589983738128247,False,False,True
lv2p5_g12_body25_tp20_lb5_none_case3_w52_35_13,study117_live,lv2p5_g12_body25_tp20_lb5_none_case3,lv2p5_g12_body25_tp20_lb5_none,0.52,0.35,0.13,56446.26613212367,2722.3133066061832,125.19000006336114,45.28741042640354,2.7643444145875176,9018,310.14315441256343,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.2322603712658236,0.17573513967907672,0.060881532374733816,2.6305054474537144,1.0653795980345961,-0.007113438435462527,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_w60_23_17,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.6,0.23,0.17,58395.89894511534,2819.794947255767,127.05610441594995,46.01604801863546,2.76112595250455,9018,321.28518613641404,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,5.09836472385463,0.9043727319109962,0.05766307029176643,4.4966098000425205,1.7940171902665156,-0.010331900518429915,False,False,True
lv3p0_g12_body20_tp20_lb5_none_case3_w60_23_17,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.6,0.23,0.17,58345.02502322917,2817.2512511614586,127.0080138733864,46.01604801863619,2.760080870524757,9018,322.08872500319256,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,5.050274181291087,0.9043727319117281,0.05661798831197329,4.448519257478978,1.7940171902672475,-0.011376982498223054,False,False,True
lv2p5_g12_body25_tp20_lb5_none_case3_w56_31_13,study117_live,lv2p5_g12_body25_tp20_lb5_none_case3,lv2p5_g12_body25_tp20_lb5_none,0.56,0.30999999999999994,0.13,55923.32852506641,2696.1664262533204,124.68118195439088,45.19340707643602,2.758835635992579,9018,303.7423617053935,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.7234422622955634,0.08173178971155437,0.055372753779795225,2.1216873384834543,0.9713762480670738,-0.012622217030401117,False,False,True
lv2p5_g12_body20_tp20_lb5_none_case3_w58_29_13,study117_live,lv2p5_g12_body20_tp20_lb5_none_case3,lv2p5_g12_body20_tp20_lb5_none,0.58,0.29000000000000004,0.13,55714.67811381097,2685.733905690549,124.477159723557,45.12613498976089,2.758427234058508,9018,299.4697570815086,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.519420031461678,0.014459703036429516,0.054964351845724124,1.9176651076495688,0.9041041613919489,-0.013030618964472218,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_w62_27_11,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.62,0.27,0.11,56361.52602403172,2718.0763012015864,125.1077909087511,45.35648803486217,2.758321826253171,9018,295.80632767429637,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.1500512166557826,0.24481274813770426,0.05485894404038705,2.5482962928436734,1.1344572064932237,-0.013136026769809295,False,False,True
lv3p0_g12_body20_tp20_lb5_none_case3_w62_27_11,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.62,0.27,0.11,56329.876095556,2716.4938047778,125.07706227758936,45.35648803486217,2.757644334840297,9018,296.3082293187918,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.1193225854940465,0.24481274813770426,0.05418145262751306,2.5175676616819374,1.1344572064932237,-0.013813518182683282,False,False,True
lv2p5_g12_body20_tp20_lb5_none_case3_w50_37_13,study117_live,lv2p5_g12_body20_tp20_lb5_none_case3,lv2p5_g12_body20_tp20_lb5_none,0.5,0.37,0.13,56757.42221116599,2737.8711105582993,125.49106378626367,45.515892027785966,2.7570823770663546,9018,312.1540870608438,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.53332409416835,0.4042167410615036,0.05361949485357087,2.9315691703562408,1.293861199417023,-0.014375475956625472,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_w62_25_13,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.62,0.25,0.13,56923.06424059864,2746.1532120299316,125.65082392749103,45.576155891010785,2.756942121840376,9018,302.50980160985716,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.693084235395716,0.4644806042863223,0.05347923962759227,3.091329311583607,1.3541250626418417,-0.014515731182604075,False,False,True
lv3p0_g12_body20_tp20_lb5_none_case3_w62_25_13,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.62,0.25,0.13,56885.239109631766,2744.2619554815883,125.61437298838723,45.57615589101112,2.7561423409375747,9018,303.1229984206041,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.656633296291915,0.4644806042866563,0.05267945872479096,3.0548783724798056,1.3541250626421757,-0.01531551208540538,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_w60_29_11,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.6,0.29000000000000004,0.11,56792.3412008467,2739.617060042335,125.52477214556768,45.57528292888796,2.754229136469137,9018,302.47099832600287,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.5670324534723648,0.46360764216349537,0.05076625425635317,2.9652775296602556,1.3532521005190148,-0.01722871655384317,False,False,True
lv2p5_g12_body25_tp20_lb5_none_case3_w50_37_13,study117_live,lv2p5_g12_body25_tp20_lb5_none_case3,lv2p5_g12_body25_tp20_lb5_none,0.5,0.37,0.13,56617.05299736776,2730.852649868388,125.35540253101338,45.515892027785966,2.7541018520407774,9018,311.70871889547965,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.397662838918066,0.4042167410615036,0.05063896982799365,2.795907915105957,1.293861199417023,-0.01735600098220269,False,False,True
lv3p0_g12_body20_tp20_lb5_none_case3_w60_29_11,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.6,0.29000000000000004,0.11,56760.42547396999,2738.0212736984995,125.49396354381055,45.57528292888796,2.7535531428213256,9018,302.95660594440585,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.536223851715235,0.46360764216349537,0.050090260608541826,2.9344689279031257,1.3532521005190148,-0.017904710201654517,False,False,True
lv3p0_g8_body20_tp20_lb5_none_case3_w58_29_13,study117_live,lv3p0_g8_body20_tp20_lb5_none_case3,lv3p0_g8_body20_tp20_lb5_none,0.58,0.29000000000000004,0.13,55494.7220208127,2674.736101040635,124.26145540030672,45.156136798588044,2.751817675514531,9018,307.342852300911,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.3037157082113993,0.04446151186358094,0.04835479330174719,1.70196078439929,0.9341059702191004,-0.019640177508449153,False,False,True
lv2p5_g12_body25_tp20_lb5_none_case3_w58_29_13,study117_live,lv2p5_g12_body25_tp20_lb5_none_case3,lv2p5_g12_body25_tp20_lb5_none,0.58,0.29000000000000004,0.13,55572.90972422097,2678.6454862110486,124.33820574393314,45.19789457400725,2.750973400770719,9018,298.87958651971996,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.3804660518378284,0.0862192872827876,0.0475105185579352,1.7787111280257193,0.975863745638307,-0.020484452252261143,False,False,True
lv3p0_g8_body25_tp20_lb5_none_case3_w58_29_13,study117_live,lv3p0_g8_body25_tp20_lb5_none_case3,lv3p0_g8_body25_tp20_lb5_none,0.58,0.29000000000000004,0.13,55453.9165481737,2672.695827408685,124.22136756160897,45.156136798588044,2.7509299149233946,9018,306.9862695275827,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.2636278695136554,0.04446151186358094,0.04746703271061081,1.6618729457015462,0.9341059702191004,-0.02052793809958553,False,False,True
lv2p5_g12_body20_tp20_lb5_none_case3_w60_27_13,study117_live,lv2p5_g12_body20_tp20_lb5_none_case3,lv2p5_g12_body20_tp20_lb5_none,0.6,0.27,0.13,55306.410882197255,2665.3205441098626,124.0762695243424,45.13830853385162,2.7488019279962828,9018,293.52537219452444,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.118529832247077,0.0266332471271582,0.04533904578349901,1.516774908434968,0.9162777054826776,-0.022655925026697332,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_w58_31_11,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.58,0.31000000000000005,0.11,57164.27697935477,2758.213848967738,125.88284311503499,45.7956206558627,2.7487965292794785,9018,307.99220313346655,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.925103422939671,0.683945369138236,0.04533364706669474,3.3233484991275617,1.5735898274937554,-0.022661323743501605,False,False,True
lv3p0_g12_body20_tp20_lb5_none_case3_w58_31_11,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.58,0.31000000000000005,0.11,57132.13008596815,2756.6065042984073,125.85196431803945,45.7956206558627,2.7481222552647737,9018,308.4613545872962,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.8942246259441333,0.683945369138236,0.04465937305198997,3.292469702132024,1.5735898274937554,-0.023335597758206372,False,False,True
lv3p0_g8_body20_tp20_lb5_none_case3_w56_31_13,study117_live,lv3p0_g8_body20_tp20_lb5_none_case3,lv3p0_g8_body20_tp20_lb5_none,0.56,0.30999999999999994,0.13,55843.71544576979,2692.1857722884893,124.60340290713626,45.37779803206997,2.7459111792748288,9018,312.3594655408849,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.6456632150409405,0.2661227453455055,0.042448297062045004,2.0439082912288313,1.155767203701025,-0.02554667374815134,False,False,True
lv3p0_g8_body25_tp20_lb5_none_case3_w56_31_13,study117_live,lv3p0_g8_body25_tp20_lb5_none_case3,lv3p0_g8_body25_tp20_lb5_none,0.56,0.30999999999999994,0.13,55802.69799129248,2690.134899564624,124.56329759752234,45.37779803206997,2.7450273702018197,9018,312.00553098874775,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.6055579054270197,0.2661227453455055,0.041564487989036,2.0038029816149105,1.155767203701025,-0.02643048282116034,False,False,True
lv3p0_g8_body20_tp20_lb5_none_case3_w60_25_15,study117_live,lv3p0_g8_body20_tp20_lb5_none_case3,lv3p0_g8_body20_tp20_lb5_none,0.6,0.25,0.15,55249.907172755025,2662.495358637751,124.0206104827735,45.20603914118328,2.743452265203857,9018,305.96533871878165,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.06287079067819,0.09436385445881967,0.03998938299107335,1.4611158668660806,0.9840083128143391,-0.02800558781912299,False,False,True
lv3p0_g8_body25_tp20_lb5_none_case3_w60_25_15,study117_live,lv3p0_g8_body25_tp20_lb5_none_case3,lv3p0_g8_body25_tp20_lb5_none,0.6,0.25,0.15,55203.23128240889,2660.1615641204444,123.97459983791457,45.206039141183375,2.74243446657046,9018,305.5458244581279,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.016860145819251,0.09436385445891204,0.038971584357676115,1.415105222007142,0.9840083128144315,-0.029023386452520228,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_w56_33_11,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.56,0.32999999999999996,0.11,57476.127296376246,2773.806364818812,126.181711736304,46.01748354804581,2.742038503790859,9018,312.36156672877524,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,4.223972044208679,0.9058082613213472,0.03857562157807504,3.62221712039657,1.7954527196768666,-0.029419349232121306,False,False,True
lv3p0_g12_body20_tp20_lb5_none_case3_w56_33_11,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.56,0.32999999999999996,0.11,57443.78470689651,2772.1892353448256,126.15077263696715,46.01748354804581,2.7413661702134577,9018,312.81412588281637,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,4.193032944871831,0.9058082613213472,0.037903288000673996,3.591278021059722,1.7954527196768666,-0.030091682809522347,False,False,True
lv2p5_g12_body25_tp20_lb5_none_case3_w60_27_13,study117_live,lv2p5_g12_body25_tp20_lb5_none_case3,lv2p5_g12_body25_tp20_lb5_none,0.6,0.27,0.13,55164.68984933596,2658.234492466798,123.93658551183711,45.21099158862395,2.741293237705103,9018,292.9013508847397,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,1.9788458197417924,0.09931630189948493,0.03783035549231917,1.3770908959296833,0.9889607602550043,-0.030164615317877175,False,False,True
lv2p5_g12_body20_tp20_lb5_none_case3_w62_23_15,study117_live,lv2p5_g12_body20_tp20_lb5_none_case3,lv2p5_g12_body20_tp20_lb5_none,0.62,0.23,0.15,55022.56822455704,2651.128411227852,123.79623360459844,45.19612502281234,2.739089546772282,9018,289.6854731132099,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,1.8384939125031252,0.0844497360878762,0.035626664559498256,1.236738988691016,0.9740941944433956,-0.03236830625069809,False,False,True
lv3p0_g8_body20_tp20_lb5_none_case3_w54_33_13,study117_live,lv3p0_g8_body20_tp20_lb5_none_case3,lv3p0_g8_body20_tp20_lb5_none,0.54,0.32999999999999996,0.13,56133.77976000971,2706.6889880004856,124.88638220766282,45.60099602977549,2.7386766316708826,9018,316.25376556070415,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.9286425155675033,0.48932074305102446,0.03521374945809885,2.326887591755394,1.3789652014065439,-0.03278122135209749,False,False,True
lv3p0_g8_body25_tp20_lb5_none_case3_w54_33_13,study117_live,lv3p0_g8_body25_tp20_lb5_none_case3,lv3p0_g8_body25_tp20_lb5_none,0.54,0.32999999999999996,0.13,56092.589034866,2704.6294517433003,124.84626512578454,45.60099602977549,2.737796890319354,9018,315.9037658650422,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,2.8885254336892245,0.48932074305102446,0.03433400810657039,2.2867705098771154,1.3789652014065439,-0.03366096270362595,False,False,True
