variant,source_group,case3_name,case3_source_variant,w1,w2,w3,rebalance_hours,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,ref85_cagr_pct,ref85_mdd_pct,ref118_cagr_pct,ref118_mdd_pct,delta_cagr_vs_85,delta_mdd_vs_85,delta_calmar_vs_85,delta_cagr_vs_118,delta_mdd_vs_118,delta_calmar_vs_118,meets_target,dominates_118,dominates_85
lv3p0_g12_body25_tp20_lb5_none_case3_rb8h_w48_28_24,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.48,0.28,0.24,8,61390.64550725984,2969.532275362992,129.8327351305061,42.79227443850551,3.034022772430145,4509,265.58086968901546,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.874995438410792,-2.3194008482189545,0.3305598902173612,0.3118776678221593,-0.7756704528739746,0.061175240016206445,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb8h_w48_28_24,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.48,0.28,0.24,8,61325.9597065153,2966.297985325765,129.77385587816417,42.79227443850551,3.0326468406033253,4509,266.4508189079242,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.816116186068854,-2.3194008482189545,0.3291839583905416,0.25299841548022073,-0.7756704528739746,0.059799308189386835,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb24h_w50_26_24,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.5,0.26,0.24,24,61531.865355350295,2976.593267767515,129.9611153252575,42.87148541383723,3.0314115331145297,1503,163.44917264022916,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,8.003375633162193,-2.2401898728872354,0.32794865090174596,0.44025786257356003,-0.6964594775422555,0.0585640007005912,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb24h_w50_26_24,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.26,0.24,24,61522.3558477861,2976.117792389305,129.95247742603482,42.87148541383723,3.031210049561084,1503,162.66445498447453,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.994737733939502,-2.2401898728872354,0.3277471673483001,0.43161996335086883,-0.6964594775422555,0.058362517147145354,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb6h_w50_27_23,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.27,0.23,6,61341.702654766144,2967.085132738307,129.78818998079927,42.82865843325666,3.0304052176431964,6012,294.2185126089917,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.8304502887039575,-2.2830168534677995,0.3269423354304126,0.26733251811532455,-0.7392864581228196,0.05755768522925786,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb6h_w50_27_23,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.5,0.27,0.23,6,61256.34233755398,2962.817116877699,129.7104351944158,42.82865843325666,3.028589732656557,6012,294.98730133444616,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.752695502320478,-2.2830168534677995,0.3251268504437732,0.18957773173184478,-0.7392864581228196,0.055742200242618445,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb6h_w49_28_23,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.28,0.23,6,61546.00548492782,2977.300274246391,129.97395755158564,42.94073776020786,3.0268217159517308,6012,296.31677973176363,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,8.016217859490325,-2.170937526516603,0.323358833738947,0.4531000889016923,-0.6272071311716232,0.053974183537792264,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb8h_w49_27_24,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.27,0.24,8,61209.02397807022,2960.451198903511,129.66729751998773,42.85230451188633,3.025911884949402,4509,263.8294038566013,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.709557827892411,-2.259370774838132,0.32244900273661825,0.14644005730377785,-0.7156403794931521,0.05306435253546349,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb6h_w49_28_23,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.49,0.28,0.23,6,61460.360947658475,2973.0180473829237,129.89613997724913,42.94073776020786,3.0250095073499352,6012,297.0663161671265,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.9384002851538185,-2.170937526516603,0.3215466251371515,0.37528251456518547,-0.6272071311716232,0.052161974935996724,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb8h_w49_27_24,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.49,0.27,0.24,8,61144.62540230765,2957.2312701153824,129.60854813113727,42.85230451188653,3.024540911100498,4509,264.7196144397243,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.650808439041953,-2.259370774837933,0.3210780288877144,0.08769066845331963,-0.7156403794929531,0.051693378686559655,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb6h_w50_26_24,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.26,0.24,6,61528.82404285061,2976.4412021425305,129.95835287878586,43.13235697814252,3.013013013516575,6012,295.4672210959951,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,8.000613186690543,-1.979318308581945,0.30955013130379117,0.43749541610191045,-0.4355879132369651,0.0401654811026364,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb6h_w50_26_24,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.5,0.26,0.24,6,61439.616019539004,2971.98080097695,129.87727855791204,43.13235697814296,3.011133349928605,6012,296.2773097233875,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.919538865816719,-1.9793183085815045,0.30767046771582107,0.35642109522808596,-0.43558791323652457,0.03828581751466631,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb24h_w51_26_23,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.51,0.26,0.23,24,61156.42703031751,2957.8213515158754,129.61931799804694,43.06342055335855,3.0099633594465556,1503,161.68754871261567,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.661578305951622,-2.0482547333659156,0.30650047723377183,0.09846053536298882,-0.5045243380209357,0.037115827032617066,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb24h_w51_26_23,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.26,0.23,24,61146.17478599957,2957.3087392999787,129.609962149189,43.06342055335855,3.0097461019984073,1503,160.92598997275866,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.652222457093671,-2.0482547333659156,0.30628321978562356,0.08910468650503844,-0.5045243380209357,0.0368985695844688,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb8h_w48_29_23,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.48,0.29000000000000004,0.23,8,61161.52703510737,2958.0763517553683,129.62397164646978,43.11688874274934,3.0063387091738556,4509,264.1823661643642,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.666231954374467,-1.994786543975124,0.30287582696107185,0.10311418378583426,-0.4510561486301441,0.033491176759917085,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb24h_w50_27_23,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.5,0.27,0.23,24,61377.686968562855,2968.884348428143,129.82094358342522,43.18625876870373,3.00607061794165,1503,163.01334288566588,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.863203891329903,-1.9254165180207323,0.30260773572886634,0.3000861207412697,-0.3816861226757524,0.03322308552771158,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb24h_w50_27_23,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.27,0.23,24,61367.445075812684,2968.372253790634,129.81162269919153,43.18625876870373,3.005854788080499,1503,162.26674808975258,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.853883007096215,-1.9254165180207323,0.30239190586771514,0.2907652365075819,-0.3816861226757524,0.033007255666560376,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb8h_w48_29_23,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.48,0.29000000000000004,0.23,8,61099.89256495524,2954.994628247762,129.56771178534262,43.11688874274934,3.0050338872637488,4509,265.0115012925594,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.609972093247308,-1.994786543975124,0.301571005050965,0.04685432265867462,-0.4510561486301441,0.03218635484981025,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb6h_w50_28_22,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.28,0.22,6,61132.676738807364,2956.633836940368,129.597642480205,43.15181777789243,3.0032950905396283,6012,292.6774552906381,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.63990278810968,-1.9598575088320302,0.29983220832684454,0.07678501752104694,-0.41612711348705034,0.030447558125689778,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb24h_w49_28_23,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.28,0.23,24,61572.53933364828,2978.626966682414,129.9980498680117,43.30914692068355,3.0016303508838527,1503,163.47602525481184,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,8.040310175916375,-1.8025283660409102,0.2981674686710689,0.47719240532774165,-0.25879797069593025,0.02878281846991415,False,True,True
