variant,source_group,case3_name,case3_source_variant,w1,w2,w3,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,leader_cagr_pct,leader_mdd_pct,cagr_peak_pct,delta_cagr_vs_leader,delta_mdd_vs_leader,delta_calmar_vs_leader,delta_cagr_vs_cagr_peak,delta_mdd_vs_cagr_peak,delta_calmar_vs_cagr_peak,dominates_leader,beats_cagr_peak
short_gate_24h_g12_tp15_case3_w60_35_5,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.6,0.35000000000000003,0.05,53113.21203441349,2555.660601720674,121.90679785191048,46.431152413438745,2.6255389219378182,9016,262.49184868830184,121.95773969209532,45.11167528672446,122.40320768847863,-0.05094184018483361,1.3194771267142826,-0.07792396027496551,-0.49640983656814797,0.9864471553390715,-0.06791473769753686,False,False
short_gate_24h_g12_tp15_case3_w59_36_5,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.59,0.36000000000000004,0.05,53220.62054028679,2561.0310270143395,122.01579174472946,46.542229623792586,2.621614665455444,9016,264.1631874011953,121.95773969209532,45.11167528672446,122.40320768847863,0.05805205263413882,1.4305543370681235,-0.08184821675733955,-0.38741594374917554,1.0975243656929123,-0.07183899417991091,False,False
smc5_longonly_case3_w62_29_9,study115_best,smc5_longonly_case3,smc5_longonly_2021plus,0.62,0.29000000000000004,0.09,50903.26210713668,2445.163105356834,119.60353009299034,45.65416564322956,2.6197725532352893,9018,259.27739682672933,121.95773969209532,45.11167528672446,122.40320768847863,-2.3542095991049763,0.5424903565050982,-0.0836903289774944,-2.7996775954882906,0.20946038512988707,-0.07368110640006575,False,False
smc5_longonly_redavg_case3_w62_29_9,study115_redavg,smc5_longonly_redavg_case3,smc5_longonly_long_above_redavg_2021plus,0.62,0.29000000000000004,0.09,50819.744551274256,2440.9872275637126,119.51590838452732,45.65416564322952,2.617853304307434,9018,259.2273169896768,121.95773969209532,45.11167528672446,122.40320768847863,-2.4418313075679947,0.5424903565050556,-0.08560957790534962,-2.887299303951309,0.20946038512984444,-0.07560035532792098,False,False
smc5_longonly_case3_w61_30_9,study115_best,smc5_longonly_case3,smc5_longonly_2021plus,0.61,0.30000000000000004,0.09,51081.242044076986,2454.0621022038495,119.78989374062623,45.76418263695666,2.6175468857579998,9018,262.13296138035287,121.95773969209532,45.11167528672446,122.40320768847863,-2.16784595146909,0.6525073502321987,-0.08591599645478398,-2.6133139478524043,0.31947737885698757,-0.07590677387735534,False,False
short_gate_24h_g12_tp15_case3_w58_37_5,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.58,0.37000000000000005,0.05,53313.77297409897,2565.6886487049483,122.11018440360348,46.65367764807367,2.617375318720354,9016,265.56201779733686,121.95773969209532,45.11167528672446,122.40320768847863,0.15244471150816707,1.5420023613492049,-0.08608756349242963,-0.2930232848751473,1.2089723899739937,-0.07607834091500099,False,False
smc5_longonly_redavg_case3_w61_30_9,study115_redavg,smc5_longonly_redavg_case3,smc5_longonly_long_above_redavg_2021plus,0.61,0.30000000000000004,0.09,50997.384303712075,2449.869215185604,119.70214723715644,45.76418263695662,2.615629523785958,9018,262.07377779836656,121.95773969209532,45.11167528672446,122.40320768847863,-2.2555924549388777,0.6525073502321561,-0.08783335842682582,-2.701060451322192,0.31947737885694494,-0.07782413584939718,False,False
smc5_longonly_case3_w60_31_9,study115_best,smc5_longonly_case3,smc5_longonly_2021plus,0.6,0.31000000000000005,0.09,51245.93720979485,2462.296860489743,119.96190948752736,45.87458290030294,2.6149972796098204,9018,264.72023410091464,121.95773969209532,45.11167528672446,122.40320768847863,-1.9958302045679517,0.7629076135784771,-0.08846560260296332,-2.441298200951266,0.42987764220326596,-0.07845638002553468,False,False
smc5_longonly_redavg_case3_w60_31_9,study115_redavg,smc5_longonly_redavg_case3,smc5_longonly_long_above_redavg_2021plus,0.6,0.31000000000000005,0.09,51161.76081961017,2458.0880409805086,119.8740438858779,45.874582900303054,2.6130819357288586,9018,264.65229954954424,121.95773969209532,45.11167528672446,122.40320768847863,-2.0836958062174205,0.7629076135785908,-0.09038094648392514,-2.529163802600735,0.42987764220337965,-0.0803717239064965,False,False
smc5_longonly_case3_w59_32_9,study115_best,smc5_longonly_case3,smc5_longonly_2021plus,0.59,0.32000000000000006,0.09,51397.205328085416,2469.8602664042705,120.11953306876623,45.98536421427911,2.612125295105685,9018,267.0401407700021,121.95773969209532,45.11167528672446,122.40320768847863,-1.8382066233290857,0.873688927554646,-0.09133758710709872,-2.2836746197124,0.5406589561794348,-0.08132836452967007,False,False
