episode_id,start,end,bars_4h,duration_hours,duration_days,max_drawdown_pct,avg_drawdown_pct,avg_run_len_4h,max_run_len_4h,avg_flip_count_30_4h,avg_near_ema_ratio_30_4h,avg_ema_below_pct
68,2024-07-30 00:00:00,2024-07-30 16:00:00,5,16.0,0.6666666666666666,21.176077303780172,20.80737755352079,92.0,94.0,0.0,0.0,0.0
69,2024-07-31 20:00:00,2024-08-24 00:00:00,140,556.0,23.166666666666668,31.490997358996374,23.809800991020342,51.18571428571428,117.0,0.8285714285714286,5.166666666666667,4.29079745378171
70,2024-08-24 08:00:00,2024-08-25 16:00:00,9,32.0,1.3333333333333333,20.584389736682308,20.32003502590682,9.0,13.0,3.0,18.51851851851852,0.0
71,2024-08-26 04:00:00,2024-08-26 04:00:00,1,0.0,0.0,20.077208945121818,20.077208945121818,16.0,16.0,3.0,16.666666666666664,0.0
72,2024-08-26 12:00:00,2024-09-27 08:00:00,192,764.0,31.833333333333332,44.87463383715762,32.15228752306495,37.411458333333336,100.0,0.7395833333333334,3.7673611111111107,2.4028434603063986
73,2024-09-27 16:00:00,2024-09-27 16:00:00,1,0.0,0.0,20.040322398515265,20.040322398515265,61.0,61.0,0.0,0.0,0.0
74,2024-09-28 12:00:00,2024-09-28 12:00:00,1,0.0,0.0,20.05429159170934,20.05429159170934,66.0,66.0,0.0,0.0,0.0
75,2024-09-29 04:00:00,2024-09-29 04:00:00,1,0.0,0.0,20.168970622747587,20.168970622747587,70.0,70.0,0.0,0.0,0.0
76,2024-09-29 20:00:00,2024-11-10 04:00:00,249,992.0,41.333333333333336,38.05754681550839,30.12836652072826,70.90361445783132,178.0,0.4819277108433735,4.819277108433735,0.1408669557222382
77,2024-11-26 16:00:00,2024-11-26 20:00:00,2,4.0,0.16666666666666666,20.937535773051007,20.552832100055895,277.5,278.0,0.0,0.0,0.0
78,2024-12-19 16:00:00,2025-11-14 00:00:00,1972,7904.0,329.3333333333333,76.43850084548454,45.252599159805676,76.9107505070994,419.0,0.654158215010142,5.9330628803245435,1.7114973929491486
