variant,timestamp,topup_amount,topup_case1,topup_case2,topup_case3,equity_before_topup,equity_after_topup,cumulative_contribution,cap1_after_topup,cap2_after_topup,cap3_after_topup
current_run_topup_only,2024-04-01,1000.0,740.0,260.0,0.0,218505.8655744172,219505.8655744172,29000.0,,,
current_run_topup_only,2024-05-01,1000.0,740.0,260.0,0.0,143840.39743606618,144840.39743606618,30000.0,,,
current_run_topup_only,2024-06-01,1000.0,740.0,260.0,0.0,144826.18960183623,145826.18960183623,31000.0,,,
current_run_topup_only,2024-07-01,1000.0,740.0,260.0,0.0,171279.13963566045,172279.13963566045,32000.0,,,
current_run_topup_only,2024-08-01,1000.0,740.0,260.0,0.0,176550.91897582068,177550.91897582068,33000.0,,,
current_run_topup_only,2024-09-01,1000.0,740.0,260.0,0.0,133302.36042519627,134302.36042519627,34000.0,,,
current_run_topup_only,2024-10-01,1000.0,740.0,260.0,0.0,152475.80643769167,153475.80643769167,35000.0,,,
current_run_topup_only,2024-11-01,1000.0,740.0,260.0,0.0,159781.79857751308,160781.79857751308,36000.0,,,
current_run_topup_only,2024-12-01,1000.0,740.0,260.0,0.0,290002.09600010735,291002.09600010735,37000.0,,,
current_run_topup_only,2025-01-01,1000.0,740.0,260.0,0.0,211795.13742939118,212795.13742939118,38000.0,,,
current_run_topup_only,2025-02-01,1000.0,740.0,260.0,0.0,259628.76501511034,260628.76501511034,39000.0,,,
current_run_topup_only,2025-03-01,1000.0,740.0,260.0,0.0,238057.5180065621,239057.5180065621,40000.0,,,
current_run_topup_only,2025-04-01,1000.0,740.0,260.0,0.0,211922.9661287327,212922.9661287327,41000.0,,,
current_run_topup_only,2025-05-01,1000.0,740.0,260.0,0.0,247595.79680266418,248595.79680266418,42000.0,,,
current_run_topup_only,2025-06-01,1000.0,740.0,260.0,0.0,353428.100470518,354428.100470518,43000.0,,,
current_run_topup_only,2025-07-01,1000.0,740.0,260.0,0.0,319603.20411578036,320603.20411578036,44000.0,,,
current_run_topup_only,2025-08-01,1000.0,740.0,260.0,0.0,341507.87778991123,342507.87778991123,45000.0,,,
current_run_topup_only,2025-09-01,1000.0,740.0,260.0,0.0,299927.32615594176,300927.32615594176,46000.0,,,
current_run_topup_only,2025-10-01,1000.0,740.0,260.0,0.0,285386.2708354875,286386.2708354875,47000.0,,,
current_run_topup_only,2025-11-01,1000.0,740.0,260.0,0.0,256733.14489350579,257733.14489350579,48000.0,,,
current_run_topup_only,2025-12-01,1000.0,740.0,260.0,0.0,283730.7042942396,284730.7042942396,49000.0,,,
current_run_topup_only,2026-01-01,1000.0,740.0,260.0,0.0,276811.46884722443,277811.46884722443,50000.0,,,
current_run_topup_only,2026-02-01,1000.0,740.0,260.0,0.0,289587.656553042,290587.656553042,51000.0,,,
current_run_topup_only,2026-03-01,1000.0,740.0,260.0,0.0,328567.03545080253,329567.03545080253,52000.0,,,
case12_rebal4h_topup,2022-02-01,1000.0,740.0,260.0,0.0,2120.423706577889,3120.423706577889,3000.0,,,
case12_rebal4h_topup,2022-03-01,1000.0,740.0,260.0,0.0,3401.487684026397,4401.487684026397,4000.0,,,
case12_rebal4h_topup,2022-04-01,1000.0,740.0,260.0,0.0,3612.058797995127,4612.058797995127,5000.0,,,
case12_rebal4h_topup,2022-05-01,1000.0,740.0,260.0,0.0,5529.2105729824125,6529.2105729824125,6000.0,,,
case12_rebal4h_topup,2022-06-01,1000.0,740.0,260.0,0.0,8261.677122436256,9261.677122436256,7000.0,,,
case12_rebal4h_topup,2022-07-01,1000.0,740.0,260.0,0.0,14129.383799283334,15129.383799283334,8000.0,,,
case12_rebal4h_topup,2022-08-01,1000.0,740.0,260.0,0.0,14672.226016981018,15672.226016981018,9000.0,,,
case12_rebal4h_topup,2022-09-01,1000.0,740.0,260.0,0.0,15485.420352422647,16485.420352422647,10000.0,,,
case12_rebal4h_topup,2022-10-01,1000.0,740.0,260.0,0.0,16726.261109451603,17726.261109451603,11000.0,,,
case12_rebal4h_topup,2022-11-01,1000.0,740.0,260.0,0.0,16677.462980556073,17677.462980556073,12000.0,,,
case12_rebal4h_topup,2022-12-01,1000.0,740.0,260.0,0.0,17371.748534377388,18371.748534377388,13000.0,,,
case12_rebal4h_topup,2023-01-01,1000.0,740.0,260.0,0.0,17005.888854547844,18005.888854547844,14000.0,,,
case12_rebal4h_topup,2023-02-01,1000.0,740.0,260.0,0.0,34761.470894353406,35761.470894353406,15000.0,,,
case12_rebal4h_topup,2023-03-01,1000.0,740.0,260.0,0.0,28143.51666386207,29143.51666386207,16000.0,,,
case12_rebal4h_topup,2023-04-01,1000.0,740.0,260.0,0.0,37262.36175764567,38262.36175764567,17000.0,,,
case12_rebal4h_topup,2023-05-01,1000.0,740.0,260.0,0.0,36114.74214073278,37114.74214073278,18000.0,,,
case12_rebal4h_topup,2023-06-01,1000.0,740.0,260.0,0.0,34716.81275722043,35716.81275722043,19000.0,,,
case12_rebal4h_topup,2023-07-01,1000.0,740.0,260.0,0.0,43968.85959992767,44968.85959992767,20000.0,,,
case12_rebal4h_topup,2023-08-01,1000.0,740.0,260.0,0.0,39879.59365450174,40879.59365450174,21000.0,,,
case12_rebal4h_topup,2023-09-01,1000.0,740.0,260.0,0.0,36907.4906756571,37907.4906756571,22000.0,,,
case12_rebal4h_topup,2023-10-01,1000.0,740.0,260.0,0.0,34111.445897005746,35111.445897005746,23000.0,,,
case12_rebal4h_topup,2023-11-01,1000.0,740.0,260.0,0.0,55376.15868867974,56376.15868867974,24000.0,,,
case12_rebal4h_topup,2023-12-01,1000.0,740.0,260.0,0.0,62520.62105197661,63520.62105197661,25000.0,,,
case12_rebal4h_topup,2024-01-01,1000.0,740.0,260.0,0.0,85005.41151829083,86005.41151829083,26000.0,,,
case12_rebal4h_topup,2024-02-01,1000.0,740.0,260.0,0.0,80893.08645537526,81893.08645537526,27000.0,,,
case12_rebal4h_topup,2024-03-01,1000.0,740.0,260.0,0.0,143755.1276426476,144755.1276426476,28000.0,,,
case12_rebal4h_topup,2024-04-01,1000.0,740.0,260.0,0.0,229971.42390890257,230971.42390890257,29000.0,,,
case12_rebal4h_topup,2024-05-01,1000.0,740.0,260.0,0.0,151795.5339966669,152795.5339966669,30000.0,,,
case12_rebal4h_topup,2024-06-01,1000.0,740.0,260.0,0.0,151866.11094538902,152866.11094538902,31000.0,,,
case12_rebal4h_topup,2024-07-01,1000.0,740.0,260.0,0.0,177655.06893414372,178655.06893414372,32000.0,,,
case12_rebal4h_topup,2024-08-01,1000.0,740.0,260.0,0.0,181774.1683808952,182774.1683808952,33000.0,,,
case12_rebal4h_topup,2024-09-01,1000.0,740.0,260.0,0.0,142968.8845570904,143968.8845570904,34000.0,,,
case12_rebal4h_topup,2024-10-01,1000.0,740.0,260.0,0.0,164286.9961057639,165286.9961057639,35000.0,,,
case12_rebal4h_topup,2024-11-01,1000.0,740.0,260.0,0.0,170853.5828906989,171853.5828906989,36000.0,,,
case12_rebal4h_topup,2024-12-01,1000.0,740.0,260.0,0.0,309972.2710180079,310972.2710180079,37000.0,,,
case12_rebal4h_topup,2025-01-01,1000.0,740.0,260.0,0.0,230857.24162167916,231857.24162167916,38000.0,,,
case12_rebal4h_topup,2025-02-01,1000.0,740.0,260.0,0.0,281311.96410641214,282311.96410641214,39000.0,,,
case12_rebal4h_topup,2025-03-01,1000.0,740.0,260.0,0.0,263389.5208083289,264389.5208083289,40000.0,,,
case12_rebal4h_topup,2025-04-01,1000.0,740.0,260.0,0.0,238372.7400528305,239372.7400528305,41000.0,,,
case12_rebal4h_topup,2025-05-01,1000.0,740.0,260.0,0.0,280244.4279119227,281244.4279119227,42000.0,,,
case12_rebal4h_topup,2025-06-01,1000.0,740.0,260.0,0.0,403252.76215042936,404252.76215042936,43000.0,,,
case12_rebal4h_topup,2025-07-01,1000.0,740.0,260.0,0.0,364882.3084332456,365882.3084332456,44000.0,,,
case12_rebal4h_topup,2025-08-01,1000.0,740.0,260.0,0.0,389739.3696314712,390739.3696314712,45000.0,,,
case12_rebal4h_topup,2025-09-01,1000.0,740.0,260.0,0.0,343121.6932177711,344121.6932177711,46000.0,,,
case12_rebal4h_topup,2025-10-01,1000.0,740.0,260.0,0.0,326635.8614179124,327635.8614179124,47000.0,,,
case12_rebal4h_topup,2025-11-01,1000.0,740.0,260.0,0.0,294176.9213192452,295176.9213192452,48000.0,,,
case12_rebal4h_topup,2025-12-01,1000.0,740.0,260.0,0.0,326398.3791531791,327398.3791531791,49000.0,,,
case12_rebal4h_topup,2026-01-01,1000.0,740.0,260.0,0.0,321913.567858761,322913.567858761,50000.0,,,
case12_rebal4h_topup,2026-02-01,1000.0,740.0,260.0,0.0,336967.13479486556,337967.13479486556,51000.0,,,
case12_rebal4h_topup,2026-03-01,1000.0,740.0,260.0,0.0,376057.0881982846,377057.0881982846,52000.0,,,
case123_rebal4h_topup,2022-02-01,1000.0,,,,2158.694672554306,3158.694672554306,3000.0,1957.495123484939,980.192035127519,221.00751394184798
case123_rebal4h_topup,2022-03-01,1000.0,,,,3351.351930181323,4351.351930181323,4000.0,2833.6153971393724,1209.8983072897254,307.83822575222587
case123_rebal4h_topup,2022-04-01,1000.0,,,,3460.3222851599294,4460.322285159929,5000.0,2765.0732489903808,1382.5366244951913,312.71241167435676
case123_rebal4h_topup,2022-05-01,1000.0,,,,5252.692754301664,6252.692754301664,6000.0,3904.21343689358,1907.395111478155,441.08420592992826
case123_rebal4h_topup,2022-06-01,1000.0,,,,7838.151793751356,8838.151793751356,7000.0,5491.753972334721,2723.8031419299814,622.5946794866553
case123_rebal4h_topup,2022-07-01,1000.0,,,,13340.481820170142,14340.481820170142,8000.0,8954.01496513033,4355.477872643267,1030.9889823965443
case123_rebal4h_topup,2022-08-01,1000.0,,,,13956.366903709548,14956.366903709548,9000.0,9288.525138799709,4644.262569399846,1023.5791955099937
case123_rebal4h_topup,2022-09-01,1000.0,,,,14854.153915485107,15854.153915485107,10000.0,9762.692728143486,4989.2216857770345,1102.2395015645873
case123_rebal4h_topup,2022-10-01,1000.0,,,,16409.686802331566,17409.686802331566,11000.0,10794.00581744557,5397.002908722785,1218.6780761632097
case123_rebal4h_topup,2022-11-01,1000.0,,,,16187.398438017412,17187.39843801741,12000.0,10657.250848377073,5329.474342673235,1200.6732469671047
case123_rebal4h_topup,2022-12-01,1000.0,,,,17291.252055728193,18291.252055728193,13000.0,11378.028660174594,5628.6072565016275,1284.6161390519705
case123_rebal4h_topup,2023-01-01,1000.0,,,,17053.661311930984,18053.661311930984,14000.0,11178.141300200448,5609.803284479704,1265.7167272508286
case123_rebal4h_topup,2023-02-01,1000.0,,,,33831.358545565716,34831.358545565716,15000.0,21596.2707856147,10798.135392807335,2436.952367143686
case123_rebal4h_topup,2023-03-01,1000.0,,,,27508.706184689072,28508.706184689072,16000.0,17671.255452244954,8835.627726122471,2001.8230063216474
case123_rebal4h_topup,2023-04-01,1000.0,,,,37174.9981876845,38174.9981876845,17000.0,23670.281341093927,11835.14067054699,2669.5761760435785
case123_rebal4h_topup,2023-05-01,1000.0,,,,35896.30963728785,36896.30963728785,18000.0,22873.42817441441,11436.714087207196,2586.167375666245
case123_rebal4h_topup,2023-06-01,1000.0,,,,34303.67613660212,35303.67613660212,19000.0,21917.33509380711,10911.803209623238,2474.5378331717707
case123_rebal4h_topup,2023-07-01,1000.0,,,,43817.96474802496,44817.96474802496,20000.0,27780.360640154835,13890.180320077394,3147.4237877927303
case123_rebal4h_topup,2023-08-01,1000.0,,,,39892.727672173896,40892.727672173896,21000.0,25392.05749357587,12643.591930351464,2857.0782482465625
case123_rebal4h_topup,2023-09-01,1000.0,,,,36900.94428363537,37900.94428363537,22000.0,23477.226486916716,11738.613243458372,2685.1045532602766
case123_rebal4h_topup,2023-10-01,1000.0,,,,34263.58066029346,35263.58066029346,23000.0,21849.579397819263,10941.09014529082,2472.9111171833797
case123_rebal4h_topup,2023-11-01,1000.0,,,,54226.848239448525,55226.848239448525,24000.0,34246.60772762738,17123.30386381367,3856.936648007472
case123_rebal4h_topup,2023-12-01,1000.0,,,,61414.13220529917,62414.13220529917,25000.0,38696.45165084242,19348.225825421192,4369.454729035552
case123_rebal4h_topup,2024-01-01,1000.0,,,,82888.54307778961,83888.54307778961,26000.0,52047.96121148403,26023.98060574201,5816.601260563571
case123_rebal4h_topup,2024-02-01,1000.0,,,,80423.16477569593,81423.16477569593,27000.0,49948.99066818318,25765.664014524227,5708.5100929885275
case123_rebal4h_topup,2024-03-01,1000.0,,,,143065.2214691893,144065.2214691893,28000.0,89285.31059080058,44642.65529540026,10137.255582988457
case123_rebal4h_topup,2024-04-01,1000.0,,,,225328.69787943354,226328.69787943354,29000.0,140332.07063946908,70166.03531973436,15830.591920230088
case123_rebal4h_topup,2024-05-01,1000.0,,,,153791.2600130542,154791.2600130542,30000.0,96236.745937881,47689.075017670526,10865.439057502692
case123_rebal4h_topup,2024-06-01,1000.0,,,,150650.03100894878,151650.03100894878,31000.0,94045.75938617408,47022.87969308707,10581.39192968763
case123_rebal4h_topup,2024-07-01,1000.0,,,,175289.64463837945,176289.64463837945,32000.0,109190.79278743753,54487.7741388996,12611.077712042304
case123_rebal4h_topup,2024-08-01,1000.0,,,,179075.58050074748,180075.58050074748,33000.0,111601.44056992585,55800.72028496284,12673.419645858821
case123_rebal4h_topup,2024-09-01,1000.0,,,,142754.19492409672,143754.19492409672,34000.0,89222.67616593088,44457.99080394783,10073.527954218009
case123_rebal4h_topup,2024-10-01,1000.0,,,,165121.0016095451,166121.0016095451,35000.0,102913.4099816491,51575.7355437149,11631.856084181118
case123_rebal4h_topup,2024-11-01,1000.0,,,,170836.6633880542,171836.6633880542,36000.0,106427.90214548816,53213.951072744254,12194.810169821803
case123_rebal4h_topup,2024-12-01,1000.0,,,,308488.2098269747,309488.2098269747,37000.0,191802.9547313675,95901.47736568356,21783.777729923673
case123_rebal4h_topup,2025-01-01,1000.0,,,,238652.34693040702,239652.34693040702,38000.0,148477.68003747318,74221.0970971321,16953.569795801744
case123_rebal4h_topup,2025-02-01,1000.0,,,,283694.14247850707,284694.14247850707,39000.0,176378.28740268885,88189.14370134436,20126.711374473856
case123_rebal4h_topup,2025-03-01,1000.0,,,,274926.3528901115,275926.3528901115,40000.0,170918.72902902475,85710.34800297103,19297.2758581157
case123_rebal4h_topup,2025-04-01,1000.0,,,,253594.65279316675,254594.65279316675,41000.0,157877.06080916946,78892.76253780074,17824.829446196556
case123_rebal4h_topup,2025-05-01,1000.0,,,,301277.00852448045,302277.00852448045,42000.0,187388.4790200893,93719.30118704308,21169.22831734809
case123_rebal4h_topup,2025-06-01,1000.0,,,,422168.81937995803,423168.81937995803,43000.0,262355.0557993939,131177.5278996969,29636.235680867136
case123_rebal4h_topup,2025-07-01,1000.0,,,,378028.0379429364,379028.0379429364,44000.0,235008.7169035324,117504.35845176606,26514.962587637918
case123_rebal4h_topup,2025-08-01,1000.0,,,,406103.71217366785,407103.71217366785,45000.0,252296.41846060634,126148.20923030318,28659.08448275831
case123_rebal4h_topup,2025-09-01,1000.0,,,,361429.018946269,362429.018946269,46000.0,224054.54633785362,112817.41753339689,25557.055075018503
case123_rebal4h_topup,2025-10-01,1000.0,,,,340418.94064949057,341418.94064949057,47000.0,211141.08532767312,106373.85450749731,23904.00081432014
case123_rebal4h_topup,2025-11-01,1000.0,,,,306521.89491220925,307521.89491220925,48000.0,190374.06066395852,95584.22356389955,21563.61068435121
case123_rebal4h_topup,2025-12-01,1000.0,,,,350089.66018611967,351089.66018611967,49000.0,215561.9267351695,111190.09656149556,24337.63688945462
case123_rebal4h_topup,2026-01-01,1000.0,,,,343853.9076307415,344853.9076307415,50000.0,213922.33046121756,106779.0559884187,24152.521181105203
case123_rebal4h_topup,2026-02-01,1000.0,,,,363845.42856366857,364845.42856366857,51000.0,226692.57125089937,112558.53475218377,25594.322560585417
case123_rebal4h_topup,2026-03-01,1000.0,,,,414129.3345870019,415129.3345870019,52000.0,259629.09614308027,126187.2759761545,29312.96246776713
case12_cash_only_rebalance_topup,2022-02-01,1000.0,817.1585394329086,182.84146056709142,0.0,2104.2682965309577,3104.2682965309577,3000.0,,,
case12_cash_only_rebalance_topup,2022-03-01,1000.0,428.7084613254965,571.2915386745035,0.0,3404.7689695485087,4404.768969548509,4000.0,,,
case12_cash_only_rebalance_topup,2022-04-01,1000.0,499.5848247148724,500.4151752851276,0.0,3627.9947331933326,4627.994733193333,5000.0,,,
case12_cash_only_rebalance_topup,2022-05-01,1000.0,554.7441550755339,445.25584492446615,0.0,5550.595338018721,6550.595338018721,6000.0,,,
