variant,timestamp,topup_amount,equity_before_topup,equity_after_topup,cap1_after_topup,cap2_after_topup,cap3_after_topup,cumulative_contribution
monthly_topup_1000,2024-04-01,1000.0,225328.69787943354,226328.69787943354,140332.07063946908,70166.03531973436,15830.591920230088,29000.0
monthly_topup_1000,2024-05-01,1000.0,153791.2600130542,154791.2600130542,96236.745937881,47689.075017670526,10865.439057502692,30000.0
monthly_topup_1000,2024-06-01,1000.0,150650.03100894878,151650.03100894878,94045.75938617408,47022.87969308707,10581.39192968763,31000.0
monthly_topup_1000,2024-07-01,1000.0,175289.64463837945,176289.64463837945,109190.79278743753,54487.7741388996,12611.077712042304,32000.0
monthly_topup_1000,2024-08-01,1000.0,179075.58050074748,180075.58050074748,111601.44056992585,55800.72028496284,12673.419645858821,33000.0
monthly_topup_1000,2024-09-01,1000.0,142754.19492409672,143754.19492409672,89222.67616593088,44457.99080394783,10073.527954218009,34000.0
monthly_topup_1000,2024-10-01,1000.0,165121.0016095451,166121.0016095451,102913.4099816491,51575.7355437149,11631.856084181118,35000.0
monthly_topup_1000,2024-11-01,1000.0,170836.6633880542,171836.6633880542,106427.90214548816,53213.951072744254,12194.810169821803,36000.0
monthly_topup_1000,2024-12-01,1000.0,308488.2098269747,309488.2098269747,191802.9547313675,95901.47736568356,21783.777729923673,37000.0
monthly_topup_1000,2025-01-01,1000.0,238652.34693040702,239652.34693040702,148477.68003747318,74221.0970971321,16953.569795801744,38000.0
monthly_topup_1000,2025-02-01,1000.0,283694.14247850707,284694.14247850707,176378.28740268885,88189.14370134436,20126.711374473856,39000.0
monthly_topup_1000,2025-03-01,1000.0,274926.3528901115,275926.3528901115,170918.72902902475,85710.34800297103,19297.2758581157,40000.0
monthly_topup_1000,2025-04-01,1000.0,253594.65279316675,254594.65279316675,157877.06080916946,78892.76253780074,17824.829446196556,41000.0
monthly_topup_1000,2025-05-01,1000.0,301277.00852448045,302277.00852448045,187388.4790200893,93719.30118704308,21169.22831734809,42000.0
monthly_topup_1000,2025-06-01,1000.0,422168.81937995803,423168.81937995803,262355.0557993939,131177.5278996969,29636.235680867136,43000.0
monthly_topup_1000,2025-07-01,1000.0,378028.0379429364,379028.0379429364,235008.7169035324,117504.35845176606,26514.962587637918,44000.0
monthly_topup_1000,2025-08-01,1000.0,406103.71217366785,407103.71217366785,252296.41846060634,126148.20923030318,28659.08448275831,45000.0
monthly_topup_1000,2025-09-01,1000.0,361429.018946269,362429.018946269,224054.54633785362,112817.41753339689,25557.055075018503,46000.0
monthly_topup_1000,2025-10-01,1000.0,340418.94064949057,341418.94064949057,211141.08532767312,106373.85450749731,23904.00081432014,47000.0
monthly_topup_1000,2025-11-01,1000.0,306521.89491220925,307521.89491220925,190374.06066395852,95584.22356389955,21563.61068435121,48000.0
monthly_topup_1000,2025-12-01,1000.0,350089.66018611967,351089.66018611967,215561.9267351695,111190.09656149556,24337.63688945462,49000.0
monthly_topup_1000,2026-01-01,1000.0,343853.9076307415,344853.9076307415,213922.33046121756,106779.0559884187,24152.521181105203,50000.0
monthly_topup_1000,2026-02-01,1000.0,363845.42856366857,364845.42856366857,226692.57125089937,112558.53475218377,25594.322560585417,51000.0
monthly_topup_1000,2026-03-01,1000.0,414129.3345870019,415129.3345870019,259629.09614308027,126187.2759761545,29312.96246776713,52000.0
