anchor_timestamp,drop_start,drop_end,past_rise,future_drop_signal,realized_case1_drop_window,case2_return_same_window,corr_drop_window,both_loss_rate_drop_window,offset_rate_drop_window,bars_in_drop_window
2022-03-02 08:20:00,2022-03-02 08:21:00,2022-03-02 12:20:00,0.03522671854654691,-0.015566838670313943,-0.015566838670313943,-0.012528552189896569,0.99999820196512,0.5208333333333334,0.0,240
2022-03-02 14:45:00,2022-03-02 14:46:00,2022-03-02 18:45:00,0.04758390527041567,-0.015564065153760298,-0.015564065153760298,-0.015564065153759965,0.9999999999999997,0.4583333333333333,0.0,240
2022-03-02 22:04:00,2022-03-02 22:05:00,2022-03-03 02:04:00,0.05055766586194732,-0.013915046141247167,-0.013915046141247167,-0.0139150461412475,0.9999999999999993,0.5208333333333334,0.0,240
2022-03-03 02:05:00,2022-03-03 02:06:00,2022-03-03 06:05:00,0.05778555073986724,-0.019636346012170458,-0.019636346012170458,-0.02006372470573259,0.9943429539024922,0.5208333333333334,0.0,240
2022-03-09 08:43:00,2022-03-09 08:44:00,2022-03-09 12:43:00,0.08600962907202869,-0.036455751821186655,-0.036455751821186655,0.057633546699453087,-0.5120490184159374,0.125,0.35833333333333334,240
2022-03-09 14:42:00,2022-03-09 14:43:00,2022-03-09 18:42:00,0.08044224523305021,-0.018494688844980067,-0.018494688844980067,0.003181174230992845,0.7140629048986434,0.35833333333333334,0.0,240
2022-03-09 18:52:00,2022-03-09 18:53:00,2022-03-09 22:52:00,0.037684028764073174,-0.013894408073979236,-0.013894408073979236,-0.004626639978129288,0.9999711811194084,0.5291666666666667,0.0,240
2022-03-16 14:16:00,2022-03-16 14:17:00,2022-03-16 18:16:00,0.056890002644167215,-0.13457191776527389,-0.13457191776527389,-0.007306022496333497,0.8534359004690667,0.24583333333333332,0.0,240
2022-03-16 20:08:00,2022-03-16 20:09:00,2022-03-17 00:08:00,0.056244182543172094,-0.01597228571308118,-0.01597228571308118,-0.00024000000000001798,0.12741560666422905,0.004166666666666667,0.0,240
2022-03-17 01:58:00,2022-03-17 01:59:00,2022-03-17 05:58:00,0.07129325779340268,-0.01629830843648672,-0.01629830843648672,0.0031466581392949333,0.850594013172086,0.375,0.0,240
2022-03-17 05:59:00,2022-03-17 06:00:00,2022-03-17 09:59:00,0.0731991790919897,-0.024635209311793638,-0.024635209311793638,0.004738728338933074,0.9024349587790063,0.475,0.0,240
2022-03-17 22:00:00,2022-03-17 22:01:00,2022-03-18 02:00:00,0.03600301410461859,-0.052468681069802736,-0.052468681069802736,-0.027983920217788172,0.9999518610896303,0.49166666666666664,0.0,240
2022-03-18 19:58:00,2022-03-18 19:59:00,2022-03-18 23:58:00,0.1555364273157398,-0.014438379841521631,-0.014438379841521631,0.0008474803109963513,0.7197116793547642,0.3416666666666667,0.0,240
2022-03-19 00:42:00,2022-03-19 00:43:00,2022-03-19 04:42:00,0.16846706025243763,-0.015143662696195492,-0.015143662696195492,-0.0022188676243692917,0.9999449754907187,0.5333333333333333,0.0,240
2022-03-19 04:43:00,2022-03-19 04:44:00,2022-03-19 08:43:00,0.06199934027192833,-0.015493184909961988,-0.015493184909961988,-0.002242216377679407,0.9999789001853867,0.48333333333333334,0.0,240
