date,timestamp_start,timestamp_end,equity_total_start,equity_total_end,equity_case1_start,equity_case1_end,equity_case2_start,equity_case2_end,return_total_pct,return_case1_pct,return_case2_pct,loss_rank_total
2024-09-30,2024-09-30 00:00:00,2024-09-30 23:59:00,28571.023760651384,25181.719014092472,23311.753868687774,20245.404737872603,5259.269891963605,4936.314276219869,-11.862734688655896,-13.15366123067161,-6.140692955066385,23
2022-07-18,2022-07-18 00:00:00,2022-07-18 23:59:00,4124.811216696649,3645.513210109948,2842.596323962274,2492.538053269186,1282.214892734375,1152.9751568407614,-11.619877405457279,-12.314737331579462,-10.079413101964896,24
2024-12-27,2024-12-27 00:00:00,2024-12-27 23:59:00,33291.980257960764,29582.535800321704,26265.76748569483,22517.89151533684,7026.212772265939,7064.644284984866,-11.14215624572845,-14.26905180821082,0.5469733690762313,25
2024-04-13,2024-04-13 00:00:00,2024-04-13 23:59:00,31948.73467407017,28395.06340144669,25319.82995698081,22549.017834075643,6628.904717089356,5846.045567371046,-11.123042301602215,-10.943249333083461,-11.809781300673928,26
2024-12-05,2024-12-05 00:00:00,2024-12-05 23:59:00,57234.26923661619,50923.4993991543,48236.82670539108,42961.28670781666,8997.442531225106,7962.212691337644,-11.026208461528686,-10.936747621884535,-11.50582330806511,27
2022-05-04,2022-05-04 00:00:00,2022-05-04 23:59:00,2082.077982670613,1853.8823688025184,1491.268914813237,1333.5260432481282,590.8090678573764,520.3563255543905,-10.959993610584917,-10.57776166311789,-11.92479028097676,28
2023-01-30,2023-01-30 00:00:00,2023-01-30 23:59:00,7641.792828529535,6810.16827768505,5212.120972509006,4611.997655546548,2429.671856020529,2198.170622138502,-10.882584355594327,-11.51399440127674,-9.528086408392388,29
2022-05-30,2022-05-30 00:00:00,2022-05-30 23:59:00,3001.782473916956,2675.356298538144,2150.030457937186,1968.254451662041,851.7520159797699,707.101846876103,-10.874411394402806,-8.454578194652518,-16.982662370018097,30
2023-05-01,2023-05-01 00:00:00,2023-05-01 23:59:00,7127.353044927768,6361.247485926736,5383.253557678348,4790.999867161973,1744.099487249419,1570.2476187647626,-10.748808908045271,-11.00177957754972,-9.968001811572947,31
2023-07-14,2023-07-14 00:00:00,2023-07-14 23:59:00,8537.133023058479,7645.482115943807,6383.967621029648,5681.616174081406,2153.1654020288306,1963.865941862401,-10.444383433013826,-11.00180152284298,-8.791682236211917,32
2022-04-06,2022-04-06 00:00:00,2022-04-06 23:59:00,1770.6981428105382,1585.9733203743665,1229.8865086292838,1087.487300080565,540.8116341812545,498.4860202938012,-10.432315817701577,-11.578239744041385,-7.826313491116165,33
2024-06-11,2024-06-11 00:00:00,2024-06-11 23:59:00,29587.601618323613,26573.03152756093,24830.288015250066,22182.06456805772,4757.31360307355,4390.966959503212,-10.188626065911876,-10.66529492354611,-7.700704097658251,34
2023-02-16,2023-02-16 00:00:00,2023-02-16 23:59:00,6271.191981335973,5664.412811610919,4411.82974540272,3954.778992530461,1859.3622359332528,1709.633819080458,-9.675659293016736,-10.359664339915241,-8.052676017572391,35
2024-12-19,2024-12-19 00:00:00,2024-12-19 23:59:00,53147.509791763245,48076.53251195045,44690.84038766287,40254.63948659749,8456.66940410037,7821.893025352962,-9.5413262064043,-9.9264208562299,-7.506221993727524,36
2024-12-09,2024-12-09 00:00:00,2024-12-09 23:59:00,58463.29065213799,53122.74147505089,49547.78231167512,44899.32222583013,8915.508340462866,8223.419249220757,-9.134876120579438,-9.381772238774156,-7.762755244152208,37
2022-06-19,2022-06-19 00:00:00,2022-06-19 23:59:00,4228.502971455099,3842.4847998117143,2982.950468787297,2858.613096115527,1245.5525026678022,983.871703696188,-9.128955903525105,-4.168268094720284,-21.00921465864586,38
2023-11-21,2023-11-21 00:00:00,2023-11-21 23:59:00,9972.340412185284,9068.63400409968,7755.811397761162,7022.739620787083,2216.5290144241235,2045.8943833125973,-9.062129557684951,-9.451903087608493,-7.698280960958181,39
2023-03-27,2023-03-27 00:00:00,2023-03-27 23:59:00,7196.815903892969,6551.527072345894,5373.802625723175,4876.150582182777,1823.013278169794,1675.3764901631178,-8.966310103861607,-9.260705652981194,-8.098503163668425,40
