variant,w1,w2,w3,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid
regime_hold_case3_w62_32_6,0.62,0.32,0.06,49066.10724396041,2353.3053621980207,117.65392994320129,47.690185902812,2.467046997530449,9012,271.519657766777
regime_hold_case3_w70_23_7,0.7,0.23000000000000004,0.07,47168.533058817775,2258.4266529408887,115.57748865522738,46.84925606125388,2.4670079820288624,9012,250.78884159084527
regime_hold_case3_w61_33_6,0.61,0.33,0.06,49193.39241061708,2359.669620530854,117.79102321540375,47.79771307150893,2.4643652519353725,9012,273.5181383146568
regime_hold_case3_w71_24_5,0.71,0.24000000000000005,0.05,47831.53694345167,2291.5768471725833,116.31005821617575,47.20021572515073,2.464184886218639,9012,237.47472161095118
regime_hold_case3_w70_25_5,0.7,0.25000000000000006,0.05,48055.355789008354,2302.7677894504177,116.55562561571924,47.303604495330774,2.463990363085844,9012,241.6433162891302
regime_hold_case3_w69_26_5,0.69,0.26000000000000006,0.05,48267.93818921871,2313.3969094609356,116.78806436308311,47.40743353678506,2.463496874861687,9012,245.56032720740745
regime_hold_case3_w68_27_5,0.68,0.26999999999999996,0.05,48469.12467883604,2323.456233941802,117.00733013748246,47.511700784419084,2.462705569484763,9012,249.22439817671446
regime_hold_case3_w67_28_5,0.67,0.27999999999999997,0.05,48658.76282749425,2332.9381413747124,117.21337994898366,47.61640329983846,2.461617674289593,9012,252.63419371042562
regime_hold_case3_w60_34_6,0.6,0.34,0.06,49308.43012633312,2365.421506316656,117.91469448907334,47.90566105202011,2.4613937455331505,9012,275.26415060072554
regime_hold_case3_w66_29_5,0.66,0.29,0.05,48836.70534251198,2341.8352671255993,117.4061699085149,47.72153793909235,2.4602344136176413,9012,255.7891116025892
regime_hold_case3_w65_30_5,0.65,0.3,0.05,49002.81941317283,2350.1409706586414,117.58566517059097,47.82710199403349,2.4585571834408864,9012,258.6882416340325
regime_hold_case3_w64_31_5,0.64,0.31,0.05,49156.9757465453,2357.848787327265,117.75182787110525,47.93309279587278,2.4565873179217035,9012,261.3319159379534
regime_hold_case3_w63_32_5,0.63,0.32,0.05,49299.052944576484,2364.952647228824,117.90462173242501,48.03950758952561,2.4543261920972017,9012,263.7218843877261
regime_hold_case3_w71_23_6,0.71,0.23000000000000004,0.06,47388.84925009779,2269.442462504889,115.82178137516061,47.239542278661595,2.4517972822839575,9012,242.14061615609378
regime_hold_case3_w62_33_5,0.62,0.33,0.05,49428.94106158547,2371.4470530792732,118.04401573018365,48.14634367789853,2.4517752899348717,9012,265.85677885897394
regime_hold_case3_w72_24_4,0.72,0.24000000000000002,0.04,48029.53445115152,2301.476722557576,116.5273394449832,47.553401926617845,2.4504522226359886,9012,228.10903755154726
regime_hold_case3_w71_25_4,0.71,0.25000000000000006,0.04,48256.20817553246,2312.8104087766233,116.7752589234496,47.65612151978941,2.4503726950368416,9012,232.4267229461644
regime_hold_case3_w70_26_4,0.7,0.26000000000000006,0.04,48471.61953854984,2323.5809769274924,117.01004486535606,47.75927897036893,2.4499960507768987,9012,236.49254625678373
regime_hold_case3_w69_27_4,0.69,0.2700000000000001,0.04,48675.60388393106,2333.7801941965527,117.23164905791764,47.862872010279034,2.449323330048831,9012,240.30482285676996
regime_hold_case3_w61_34_5,0.61,0.34,0.05,49546.53403788118,2377.326701894059,118.16997582430719,48.25359842293714,2.4489360314346134,9012,267.7379657267366
regime_hold_case3_w68_28_4,0.68,0.27999999999999997,0.04,48868.009680019524,2343.400484000976,117.44003124493526,47.966898144839995,2.448355757554208,9012,243.86078603797569
regime_hold_case3_w67_29_4,0.67,0.29,0.04,49048.6872664231,2352.4343633211547,117.63514671345612,48.071354059339996,2.4470945122171,9012,247.16062386032056
regime_hold_case3_w70_22_8,0.7,0.22000000000000003,0.08,46699.07391139554,2234.953695569777,115.05404408455342,47.025620675734956,2.4466246788725723,9012,254.7990096954502
regime_hold_case3_w60_35_5,0.6,0.35000000000000003,0.05,49651.74366565096,2382.5871832825483,118.2824797953569,48.36126898511135,2.445810093026544,9012,269.36469767370716
regime_hold_case3_w66_30_4,0.66,0.3,0.04,49217.49974036905,2360.8749870184524,117.81695791256861,48.176237061957764,2.4455408952145508,9012,250.2036684530539
regime_hold_case3_w65_31_4,0.65,0.31,0.04,49374.31684129393,2368.715842064696,117.98542765243316,48.28154447979297,2.4436962181649555,9012,252.98928578475184
regime_hold_case3_w64_32_4,0.64,0.32,0.04,49519.01344847438,2375.950672423719,118.14051735609561,48.387273605563976,2.441561769301894,9012,255.51978602960617
regime_hold_case3_w63_33_4,0.63,0.33,0.04,49651.48003434555,2382.5740017172775,118.28219811171152,48.49342172260296,2.439139040101593,9012,257.7937871509219
regime_hold_case3_w72_25_3,0.72,0.25,0.03,48444.07939249532,2322.2039696247657,116.98007178605896,48.00706260810824,2.4367262946494335,9012,222.81325993265517
regime_hold_case3_w73_24_3,0.73,0.24000000000000002,0.03,48214.60571756918,2310.730285878459,116.72982328114725,47.905009072048266,2.4366934803328753,9012,218.34190771759376
regime_hold_case3_w72_23_5,0.72,0.23000000000000004,0.05,47596.65118771106,2279.832559385553,116.05141135206583,47.62861199740048,2.4365902445026064,9012,233.0558812071462
regime_hold_case3_w71_26_3,0.71,0.26,0.03,48662.26852623586,2333.113426311793,117.21718331101702,48.10955159938142,2.43646384998783,9012,227.02985096491787
regime_hold_case3_w62_34_4,0.62,0.34,0.04,49771.611776841295,2388.580588842065,118.41043884290113,48.5999861250973,2.436429478356442,9012,259.8117648417906
regime_hold_case3_w70_27_3,0.7,0.27,0.03,48869.00838810367,2343.4504194051838,117.44111125912626,48.21247345037067,2.4359072010694223,9012,230.99060279635154
regime_hold_case3_w69_28_3,0.69,0.28,0.03,49064.14200240758,2353.207100120379,117.65181115846008,48.31582603651895,2.4350574296201484,9012,234.69444657670263
regime_hold_case3_w68_29_3,0.68,0.2899999999999999,0.03,49247.519121438156,2362.3759560719077,117.84923936364282,48.41960607106648,2.433915699162711,9012,238.14096409152717
regime_hold_case3_w61_35_4,0.61,0.35000000000000003,0.04,49879.315149584414,2393.965757479221,118.52521323676908,48.70696410386765,2.433434631319126,9012,261.5736429130966
regime_hold_case3_w67_30_3,0.67,0.29999999999999993,0.03,49419.000821942005,2370.9500410971004,118.03335781687436,48.52381087843951,2.432483262960698,9012,241.3285088585638
regime_hold_case3_w71_22_7,0.71,0.22000000000000003,0.07,46928.67514540576,2246.433757270288,115.3105435050359,47.413479837975956,2.432020258776231,9012,246.42375666871467
regime_hold_case3_w66_31_3,0.66,0.30999999999999994,0.03,49578.45517772897,2378.9227588864483,118.20412919943854,48.628437787586975,2.430761393482635,9012,244.25734763263662
regime_hold_case3_w60_36_4,0.6,0.36000000000000004,0.04,49974.50544293148,2398.725272146574,118.62649696741472,48.81435295919583,2.4301560868086325,9012,263.0803585011989
regime_hold_case3_w65_32_3,0.65,0.31999999999999995,0.03,49725.756156276395,2386.2878078138197,118.361515608501,48.7334841269583,2.428751355026266,9012,246.92854867199492
regime_hold_case3_w64_33_3,0.64,0.32999999999999996,0.03,49860.790621162596,2393.03953105813,118.50548588941842,48.83894719110299,2.4264545553309267,9012,249.34177056472652
regime_hold_case3_w63_34_3,0.63,0.33999999999999997,0.03,49983.45263688427,2399.172631844214,118.63600938971115,48.94482429046856,2.423872413672433,9012,251.4971576504463
regime_hold_case3_w73_25_2,0.73,0.25,0.02,48618.76107178475,2330.9380535892374,117.16996701464714,48.356428053114634,2.423048428762104,9012,212.8107662473939
regime_hold_case3_w74_24_2,0.74,0.24000000000000002,0.02,48386.52037097708,2319.326018548854,116.91738625060482,48.255037769486265,2.4229052893734697,9012,208.18983098370384
regime_hold_case3_w72_26_2,0.72,0.26,0.02,48839.69843219507,2341.9849216097537,117.40940818979331,48.45825141849498,2.422898159816428,9012,217.17609383385985
regime_hold_case3_w71_27_2,0.71,0.27,0.02,49049.16374230674,2352.458187115337,117.63566054454438,48.560505296868286,2.4224554465690624,9012,221.28539594136134
regime_hold_case3_w70_28_2,0.7,0.28,0.02,49246.99786668071,2362.349893334035,117.84867895752562,48.66318739002396,2.4217213314244357,9012,225.13710275390218
regime_hold_case3_w73_23_4,0.73,0.23,0.04,47791.77062823956,2289.5885314119782,116.26633683883783,48.01645473442924,2.421385283063628,9012,223.5404129731639
regime_hold_case3_w62_35_3,0.62,0.35,0.03,50093.64439556892,2404.682219778446,118.75305682669057,49.05111273214205,2.421006379104514,9012,253.39571811336955
regime_hold_case3_w69_29_2,0.69,0.29000000000000004,0.02,49433.04925017389,2371.652462508695,118.048420051361,48.76629470396065,2.4206969335682067,9012,228.73000173968808
regime_hold_case3_w68_30_2,0.68,0.29999999999999993,0.02,49607.17620571423,2380.3588102857116,118.23484445693033,48.869824477324805,2.4193834482010534,9012,232.0633884177932
regime_hold_case3_w61_36_3,0.61,0.36,0.03,50191.27913187555,2409.563956593777,118.85660326016026,49.15780981989125,2.417857990330278,9012,255.03777052948266
regime_hold_case3_w67_31_2,0.67,0.30999999999999994,0.02,49769.24503277041,2388.4622516385202,118.40791460544935,48.97377404718306,2.4177821070389833,9012,235.1369914584034
regime_hold_case3_w72_22_6,0.72,0.22000000000000003,0.06,47146.007064395075,2257.3003532197536,115.55246256944712,47.80014697152048,2.417408102077463,9012,237.62615875423512
regime_hold_case3_w66_32_2,0.66,0.31999999999999995,0.02,49919.129730622495,2395.9564865311245,118.56759426247203,49.0781407647969,2.415894172330159,9012,237.95059909595645
regime_hold_case3_w60_37_3,0.6,0.37,0.03,50276.27963474594,2413.813981737297,118.94662639026494,49.26491289268886,2.414428838012158,9012,256.42461447942895
regime_hold_case3_w65_33_2,0.65,0.32999999999999996,0.02,50056.713744798144,2402.835687239907,118.7138502355797,49.182921942848104,2.413720973583644,9012,240.50493073615797
regime_hold_case3_w71_21_8,0.71,0.21000000000000002,0.08,46451.59317521796,2222.579658760898,114.77649930082107,47.58977839926413,2.4117889000843897,9012,250.35512155259903
regime_hold_case3_w64_34_2,0.64,0.33999999999999997,0.02,50181.888719661685,2409.094435983084,118.84665089716053,49.28811490763045,2.411263874057425,9012,242.80035254528843
regime_hold_case3_w74_25_1,0.74,0.25,0.01,48780.05651966071,2339.0028259830356,117.34485210980816,48.7042224760727,2.4093363191960835,9012,202.4574239646938
regime_hold_case3_w73_26_1,0.73,0.26,0.01,49003.690479193996,2350.1845239597,117.58660518988653,48.80538339962184,2.409295798930198,9012,206.97334959569406
regime_hold_case3_w72_27_1,0.72,0.27,0.01,49215.83336269099,2360.791668134549,117.81516553066464,48.906972400401486,2.4089646066436425,9012,211.231844664586
regime_hold_case3_w63_35_2,0.63,0.35,0.02,50294.55544296687,2414.7277721483433,118.96596705427834,49.393716982454514,2.4085242885555074,9012,244.83738378868946
regime_hold_case3_w71_28_1,0.71,0.28,0.01,49416.324067426125,2370.816203371306,118.03048752649418,49.00898694413207,2.408343752566103,9012,215.23187428020793
regime_hold_case3_w70_29_1,0.7,0.29000000000000004,0.01,49605.00984980874,2380.250492490437,118.2325281506858,49.11142439073549,2.407434311210682,9012,218.9724325505949
regime_hold_case3_w69_30_1,0.69,0.30000000000000004,0.01,49781.74601617801,2389.0873008089006,118.42124643095792,49.21428198822122,2.406237410093689,9012,222.45249638205587
regime_hold_case3_w74_23_3,0.74,0.23,0.03,47974.01811664451,2298.7009058322255,116.46648467397979,48.40306228348808,2.4061800881906277,9012,213.6188073251563
regime_hold_case3_w62_36_2,0.62,0.36,0.02,50394.624374856736,2419.7312187428365,119.07177238034441,49.49972548732018,2.405503691345637,9012,246.61689300245192
regime_hold_case3_w68_31_1,0.68,0.30999999999999994,0.01,49946.397009147564,2397.3198504573784,118.5966044276236,49.31755708982417,2.404754238163471,9012,225.6717984373258
regime_hold_case3_w67_32_1,0.67,0.31999999999999995,0.01,50098.834616041495,2404.9417308020747,118.75856515330688,49.42124705122334,2.4029860078240826,9012,228.6305950314328
regime_hold_case3_w73_22_5,0.73,0.22000000000000003,0.05,47350.87032508074,2267.5435162540366,115.77973070148673,48.18560027899477,2.402786932841383,9012,228.3893452951245
regime_hold_case3_w61_37_2,0.61,0.37,0.02,50482.01638104204,2424.100819052102,119.16404407016992,49.606137753034396,2.402203627773474,9012,248.1398312768948
