variant,source_group,case3_name,case3_source_variant,w1,w2,w3,rebalance_rule,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,ref85_cagr_pct,ref85_mdd_pct,ref119_cagr_pct,ref119_mdd_pct,delta_cagr_vs_85,delta_mdd_vs_85,delta_calmar_vs_85,delta_cagr_vs_119,delta_mdd_vs_119,delta_calmar_vs_119,meets_target,dominates_119,dominates_85
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w50_22_28,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.21999999999999997,0.28,4h,62952.29415531426,3047.614707765713,131.24015490336402,44.65160367964218,2.939203613938726,9018,375.0319847135768,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,9.282415211268699,-0.4600716070822841,0.23574073172594234,-1.0159019222333825,1.813393528846234,-0.14813491771419018,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb3h_w51_24_25,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.24,0.25,3h,61585.11239174107,2979.2556195870534,130.00946326237744,44.24405492436561,2.9384617545707825,12023,420.0954994873567,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.051723570282121,-0.8676203623588563,0.23499887235799877,-2.2465935632199603,1.4058447735696618,-0.14887677708213376,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb2h_w49_21_30,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.21000000000000002,0.3,2h,63926.132274480755,3096.306613724038,132.10448877537456,44.984931953506276,2.9366386262829036,18035,559.8419337218518,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,10.146749083279246,-0.12674333321818665,0.23317574407011987,-0.15156805022283493,2.1467218027103314,-0.15069990537001265,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb3h_w50_23_27,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.22999999999999998,0.27,3h,62127.843729175525,3006.392186458776,130.5004635048991,44.47610636190967,2.9341701461677996,12023,426.74912573223463,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.542723812803786,-0.6355689248147911,0.23070726395501584,-1.7555933206982957,1.637896211113727,-0.1531683854851167,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w49_21_30,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.21000000000000002,0.3,4h,63410.457311717866,3070.522865585893,131.648050830481,44.90264773227952,2.93185496800542,9018,378.6930356476846,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,9.690311138385681,-0.20902755444494403,0.22839208579263603,-0.6080059951164003,2.064437581483574,-0.1554835636474965,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb3h_w49_22_29,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.22000000000000003,0.29,3h,62619.89930166361,3030.9949650831804,130.94281986962173,44.71223440122103,2.928568022224491,12023,432.2242568824178,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.985080177526413,-0.3994408855034308,0.22510514001170723,-1.3132369559756683,1.8740242504250872,-0.1587705094284253,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb90min_w52_23_25,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.22999999999999998,0.25,90min,62985.25909687272,3049.262954843636,131.26957799599265,44.833165912246876,2.9279569114733057,24046,637.9100802357311,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,9.311838303897332,-0.2785093744775864,0.22449402926052198,-0.9864788296047493,1.9949557614509317,-0.15938162017961055,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb90min_w51_22_27,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.21999999999999997,0.27,90min,63628.395321245625,3081.4197660622813,131.84129524438285,45.04636913243269,2.92679072217297,24046,651.314997770509,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,9.883555552287532,-0.06530615429177544,0.22332783996018613,-0.41476158121454887,2.2081589816367426,-0.1605478094799464,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb2h_w52_23_25,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.22999999999999998,0.25,2h,62369.899826360124,3018.494991318006,130.71840127276656,44.683236282985185,2.925446143715031,18035,535.225575766102,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.76066158067124,-0.42843900373927823,0.22198326150224723,-1.5376555528308415,1.8450261321892398,-0.1618923879378853,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w52_23_25,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.22999999999999998,0.25,4h,62029.64737587467,3001.4823687937337,130.4118680955085,44.58195177809316,2.925216660424247,9018,365.8387140437851,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.454128403413193,-0.5297235086312995,0.22175377821146336,-1.844188730088888,1.7437416272972186,-0.16212187122866917,False,False,True
