variant,rebalance_mode,w1,w2,w3,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,rebalance_count,fee_paid,deferred_due_bars,flat_rebalance_hits
no_rebalance_w85_10_5,no_rebalance,0.85,0.1,0.05,30721.203170601028,1436.0601585300512,69.15472576387502,74.04977071584398,0.9338952044733125,0,0.0,0,0
monthly_due_allflat_w85_10_5,monthly_due_allflat,0.85,0.1,0.05,30704.840542144477,1435.242027107224,69.13738636694433,74.04977071584398,0.9336610457883757,1,16.362628456552063,179339,1
weekly_due_allflat_w80_10_10,weekly_due_allflat,0.8,0.1,0.1,28052.95884827888,1302.647942413944,66.22313940379145,73.23548839941063,0.9042493038706135,2,12.824109806918976,181803,2
no_rebalance_w90_0_10,no_rebalance,0.9,0.0,0.1,30041.40347777473,1402.0701738887365,68.42797786142259,75.75417435338561,0.9032898641626395,0,0.0,0,0
monthly_due_allflat_w90_0_10,monthly_due_allflat,0.9,0.0,0.1,30024.567797540745,1401.2283898770372,68.40981164154488,75.75417435338561,0.9030500592933662,1,16.835680233982618,179339,1
weekly_due_allflat_w75_25_0,weekly_due_allflat,0.75,0.25,0.0,25471.934145362513,1173.5967072681258,63.1646295851209,72.43186829610045,0.872055782503149,2,10.170271579138516,181803,2
weekly_due_allflat_w85_0_15,weekly_due_allflat,0.85,0.0,0.15,26877.492747339977,1243.8746373669987,64.8596899901744,75.02664675680096,0.8644887222591359,2,13.125076205326165,181803,2
weekly_due_allflat_w80_15_5,weekly_due_allflat,0.8,0.15,0.05,24591.10525697974,1129.5552628489868,62.06347789009219,72.83841825390725,0.8520706431837286,2,10.56584528490315,181803,2
no_rebalance_w85_15_0,no_rebalance,0.85,0.15,0.0,25215.38071354813,1160.7690356774065,62.84711992035887,75.16100395185319,0.8361665839458136,0,0.0,0,0
monthly_due_allflat_w85_15_0,monthly_due_allflat,0.85,0.15,0.0,25202.762044362375,1160.1381022181185,62.83143589751945,75.16100395185319,0.8359579116022473,1,12.618669185756092,179339,1
no_rebalance_w90_5_5,no_rebalance,0.9,0.05,0.05,24535.58102072303,1126.7790510361517,61.99300410526243,75.46874608331585,0.8214394345021117,0,0.0,0,0
monthly_due_allflat_w90_5_5,monthly_due_allflat,0.9,0.05,0.05,24522.709532658126,1126.1354766329064,61.97664866384653,75.46874608331585,0.8212227164265544,1,12.871488064905398,179339,1
weekly_due_allflat_w85_5_10,weekly_due_allflat,0.85,0.05,0.1,23643.184767459727,1082.1592383729862,60.84227664887547,74.63908149256764,0.8151530730577651,2,10.880412168301357,181803,2
weekly_due_allflat_w80_20_0,weekly_due_allflat,0.8,0.2,0.0,21063.959234325168,953.1979617162584,57.306789449463366,73.6601876074883,0.7779886436732012,2,8.265766845913229,181803,2
weekly_due_allflat_w85_10_5,weekly_due_allflat,0.85,0.1,0.05,20343.58958285844,917.1794791429219,56.25704007318644,74.25068616736972,0.7576635715712646,2,8.591322622720114,181803,2
weekly_due_allflat_w90_0_10,weekly_due_allflat,0.9,0.0,0.1,19556.10806021046,877.8054030105229,55.07457075613726,76.04014937249669,0.7242827796976611,2,8.846004500457218,181803,2
no_rebalance_w90_10_0,no_rebalance,0.9,0.1,0.0,19029.75856367134,851.487928183567,54.26259030572411,76.3327484548917,0.7108690752539876,0,0.0,0,0
monthly_due_allflat_w90_10_0,monthly_due_allflat,0.9,0.1,0.0,19020.851267775513,851.0425633887756,54.248694078656314,76.3327484548917,0.7106870272162963,1,8.90729589582818,179339,1
no_rebalance_w95_0_5,no_rebalance,0.95,0.0,0.05,18349.958870844494,817.4979435422247,53.18660582377363,76.88772145078782,0.6917438157900915,0,0.0,0,0
monthly_due_allflat_w95_0_5,monthly_due_allflat,0.95,0.0,0.05,18341.073372943225,817.0536686471612,53.172330236554146,76.88772145078782,0.6915581478193138,1,8.885497901268518,179339,1
weekly_due_allflat_w85_15_0,weekly_due_allflat,0.85,0.15,0.0,16978.707193539933,748.9353596769967,50.914338429532414,74.89878542651869,0.6797752211814327,2,6.257807568583534,181803,2
weekly_due_allflat_w90_5_5,weekly_due_allflat,0.9,0.05,0.05,16418.745327764802,720.9372663882401,49.94363310815113,75.66039619885136,0.6601027171056415,2,6.539058994596555,181803,2
weekly_due_allflat_w90_10_0,weekly_due_allflat,0.9,0.1,0.0,13216.100617027512,560.8050308513756,43.81208321347352,76.14766050634209,0.5753569173648422,2,4.185076597802423,181803,2
weekly_due_allflat_w95_0_5,weekly_due_allflat,0.95,0.0,0.05,12816.49509036244,540.824754518122,42.96498674912297,77.0675486421294,0.557497773137109,2,4.44773261374312,181803,2
no_rebalance_w95_5_0,no_rebalance,0.95,0.05,0.0,12844.1364137928,542.20682068964,43.02426330276528,77.50449295793041,0.5551196022418846,0,0.0,0,0
monthly_due_allflat_w95_5_0,monthly_due_allflat,0.95,0.05,0.0,12839.43534095889,541.9717670479445,43.01418917239606,77.50449295793041,0.5549896209984142,1,4.701072833909231,179339,1
weekly_due_allflat_w95_5_0,weekly_due_allflat,0.95,0.05,0.0,9776.06210501374,388.803105250687,35.70645993161234,77.40681160010874,0.4612831764221921,2,2.0862505885234577,181803,2
no_rebalance_w100_0_0,no_rebalance,1.0,0.0,0.0,6658.514263913316,232.92571319566582,26.03990819739499,78.67623746096871,0.3309755148155552,0,0.0,0,0
weekly_due_allflat_w100_0_0,weekly_due_allflat,1.0,0.0,0.0,6658.514263913316,232.92571319566582,26.03990819739499,78.67623746096871,0.3309755148155552,2,0.0,181803,2
monthly_due_allflat_w100_0_0,monthly_due_allflat,1.0,0.0,0.0,6658.514263913316,232.92571319566582,26.03990819739499,78.67623746096871,0.3309755148155552,1,0.0,179339,1
