variant,entry_time,exit_time,avg_entry,exit_price,quantity,num_entries,pnl,return_pct,reason,hours_held
minus20_rsi15_case2_longonly_noreentry,2022-06-23 01:50:00,2022-06-23 06:40:00,20347.1,20610.7,0.05951144417859966,2,15.196587676466255,1.5196587676466253,Take Profit,4.833333333333333
minus20_rsi15_case2_longonly_noreentry,2022-06-23 11:42:00,2022-06-23 19:23:00,20410.733333333334,20686.4,0.08972729713257357,3,23.992371005784914,2.399237100578491,Take Profit,7.683333333333334
minus20_rsi15_case2_longonly_noreentry,2022-06-23 21:35:00,2022-06-23 22:29:00,20685.2,20979.5,0.030454080017782378,1,8.707071200540106,0.8707071200540105,Take Profit,0.9
minus20_rsi15_case2_longonly_noreentry,2022-06-24 06:47:00,2022-06-24 08:47:00,20787.0,21048.1,0.030548986915260503,1,7.7191412309780345,0.7719141230978034,Take Profit,2.0
minus20_rsi15_case2_longonly_noreentry,2022-06-24 09:54:00,2022-06-24 11:08:00,20754.5,21005.1,0.030812636802441166,1,7.462757775772128,0.7462757775772129,Take Profit,1.2333333333333334
minus20_rsi15_case2_longonly_noreentry,2022-06-30 06:30:00,2022-06-30 23:49:00,19196.724999999995,19437.0,0.13171543473257047,4,30.623864918410252,3.0623864918410253,Take Profit,17.316666666666666
minus20_rsi15_case2_longonly_noreentry,2022-07-01 10:38:00,2022-07-01 13:42:00,19129.899999999998,19372.7,0.06882985047117504,2,16.178519676712327,1.6178519676712328,Take Profit,3.066666666666667
minus20_rsi15_case2_longonly_noreentry,2022-07-01 15:51:00,2022-07-01 17:38:00,19234.5,19499.4,0.034884380908128364,1,8.968782703731272,0.8968782703731271,Take Profit,1.7833333333333334
minus20_rsi15_case2_longonly_noreentry,2022-07-02 03:32:00,2022-07-02 12:43:00,19055.4,19389.5,0.07078667372886568,2,23.100820408707584,2.3100820408707583,Take Profit,9.183333333333334
minus20_rsi15_case2_longonly_noreentry,2022-07-03 04:54:00,2022-07-03 04:58:00,18829.8,19156.9,0.03663026808373653,1,11.701071737128967,1.1701071737128965,Take Profit,0.06666666666666667
minus20_rsi15_case2_longonly_noreentry,2022-11-09 21:28:00,2022-11-09 21:34:00,15842.8,16175.9,0.0439692306445924,1,14.361653976520198,1.43616539765202,Take Profit,0.1
minus20_rsi15_case2_longonly_noreentry,2022-11-09 23:04:00,2022-11-09 23:09:00,15640.6,15909.5,0.0450779085628121,1,11.834582818028133,1.1834582818028132,Take Profit,0.08333333333333333
minus20_rsi15_case2_longonly_noreentry,2024-08-05 06:22:00,2024-08-05 06:34:00,50328.1,50941.5,0.014146710792371175,1,8.38933053290867,0.8389330532908669,Take Profit,0.2
minus20_rsi15_case2_longonly_noreentry,2024-08-05 12:18:00,2024-08-05 12:42:00,50424.4,51112.6,0.014216129478014171,1,9.492890970946132,0.9492890970946131,Take Profit,0.4
minus20_rsi15_case2_longonly_noreentry,2024-08-05 12:55:00,2024-08-05 13:05:00,49530.0,50660.0,0.014584362856489503,1,16.184792498909232,1.6184792498909233,Take Profit,0.16666666666666666
minus20_rsi15_case2_longonly_noreentry,2026-02-05 15:01:00,2026-02-05 18:19:00,67836.05,65792.7,0.042402557274694955,4,-87.7591768992509,-8.775917689925091,Stop Loss,3.3
minus20_rsi15_case2_longonly_noreentry,2026-02-05 19:52:00,2026-02-06 00:05:00,64015.325000000004,61795.0,0.04162436241994697,4,-93.4484834803652,-9.34484834803652,Stop Loss,4.216666666666667
minus20_rsi15_case2_longonly_noreentry,2026-02-06 00:13:00,2026-02-06 00:27:00,60715.2,61644.4,0.010242024398096005,1,9.264343691188458,0.9264343691188458,Take Profit,0.23333333333333334
minus20_rsi15_case2_longonly_noreentry,2026-02-06 02:13:00,2026-02-06 05:05:00,64454.4,65275.0,0.019386646683459154,2,15.402496923541436,1.5402496923541436,Take Profit,2.8666666666666667
minus20_rsi15_case2_longonly_noreentry,2026-02-06 06:17:00,2026-02-06 09:35:00,65234.3,66025.9,0.02899371668838613,3,22.18569163504792,2.218569163504792,Take Profit,3.3
minus20_rsi15_case2_longonly_noreentry,2026-02-06 14:21:00,2026-02-06 14:32:00,66659.6,67460.1,0.009736857263358838,1,7.531614493449984,0.7531614493449984,Take Profit,0.18333333333333332
minus20_rsi15_case2_longonly_noreentry,2026-02-07 07:16:00,2026-02-07 07:41:00,67621.1,68481.5,0.009662933698596455,1,8.04929527664016,0.804929527664016,Take Profit,0.4166666666666667
buy_hold,2022-01-01 00:00:00,2026-03-15 05:19:00,46246.66,71666.9,0.02161453389282599,1,548.4270203881533,54.84270203881534,Final Close,36797.333333333336
