episode_id,peak_idx,trough_idx,recovery_idx,peak_time,trough_time,recovery_time,peak_equity,trough_equity,recovery_equity,depth_pct,days_to_trough,days_to_recovery,recovered,btc_peak_to_trough_pct,btc_peak_to_recovery_pct,bullish_4h_share_pct,bearish_4h_share_pct,long_share_pct,short_share_pct,flat_share_pct,short_gate_open_share_pct,avg_bearish_ob_above_count,avg_bullish_ob_below_count,side_change_count,episode_label
U359,135340,135341,135342.0,2024-11-11 19:00:00,2024-11-11 19:15:00,2024-11-11 19:30:00,119744.9679059964,119648.51909300081,120610.02706300435,0.08054519090213708,0.010416666666666666,0.020833333333333332,True,-0.041504757307930795,0.3722603654050971,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U360,135345,135346,135350.0,2024-11-11 20:15:00,2024-11-11 20:30:00,2024-11-11 21:30:00,123851.08647274002,122198.99416474302,125942.88783548928,1.3339344490616356,0.010416666666666666,0.052083333333333336,True,-0.6985997074083761,0.884534001459536,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U361,135350,135351,135352.0,2024-11-11 21:30:00,2024-11-11 21:45:00,2024-11-11 22:00:00,125942.88783548928,125390.20362618887,125990.57039472306,0.43883717357851015,0.010416666666666666,0.020833333333333332,True,-0.23165760098113886,0.019986145967010316,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U362,135352,135354,135356.0,2024-11-11 22:00:00,2024-11-11 22:30:00,2024-11-11 23:00:00,125990.57039472306,122570.97231149273,126634.28494437881,2.7141698561383376,0.020833333333333332,0.041666666666666664,True,-1.433038218136995,0.26975905611577033,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U363,135357,135361,135365.0,2024-11-11 23:15:00,2024-11-12 00:15:00,2024-11-12 01:15:00,129254.9292368116,125303.7789875777,129484.40155312407,3.0568662043014894,0.041666666666666664,0.08333333333333333,True,-1.6334485095230278,0.09486635268554089,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U364,135365,135371,135387.0,2024-11-12 01:15:00,2024-11-12 02:45:00,2024-11-12 06:45:00,129484.40155312407,124955.10027318078,130955.5168749384,3.497951278776257,0.0625,0.22916666666666666,True,-1.8706877837978197,0.6075986760391228,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U365,135387,135388,135389.0,2024-11-12 06:45:00,2024-11-12 07:00:00,2024-11-12 07:15:00,130955.5168749384,130070.68029279375,131020.53854662081,0.6756772095288355,0.010416666666666666,0.020833333333333332,True,-0.3632472928845276,0.026693003763722523,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U366,135389,135415,135515.0,2024-11-12 07:15:00,2024-11-12 13:45:00,2024-11-13 14:45:00,131020.53854662081,119254.05428479426,133203.64117335744,8.980641044792915,0.2708333333333333,1.3125,True,-4.829143650094725,0.8959784378085534,100.0,0.0,100.0,0.0,0.0,0.0,0.5925925925925926,4.925925925925926,0,혼합형 추세/휩쏘
U367,135516,135517,135518.0,2024-11-13 15:00:00,2024-11-13 15:15:00,2024-11-13 15:30:00,134476.98224380446,134098.7728535185,136342.83329745737,0.2812447037220722,0.010416666666666666,0.020833333333333332,True,-0.15305171525364925,0.7550624376445825,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U368,135521,135645,136105.0,2024-11-13 16:15:00,2024-11-14 23:15:00,2024-11-19 18:15:00,139582.53808903304,123482.63033320641,139915.77415640533,11.534327987041804,1.2916666666666667,6.083333333333333,True,-6.383337540482625,0.13212239044850804,100.0,0.0,100.0,0.0,0.0,0.0,0.128,4.92,0,혼합형 추세/휩쏘
U369,136109,136141,136181.0,2024-11-19 19:15:00,2024-11-20 03:15:00,2024-11-20 13:15:00,141802.215406091,135674.4646972887,142423.71421792195,4.321336370700379,0.3333333333333333,0.75,True,-2.408353103025296,0.2442639498779764,100.0,0.0,100.0,0.0,0.0,0.0,0.0,4.96969696969697,0,혼합형 추세/휩쏘
