variant,case3_name,w1,w2,w3,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid
regime_hold_case3_w62_20_18,regime_hold_case3,0.62,0.2,0.18,43339.7918661953,2066.989593309765,111.18733777398346,44.2816930040178,2.5109098191863426,9012,308.27847880297696
regime_hold_case3_w68_24_8,regime_hold_case3,0.68,0.24,0.08,47161.935023992635,2258.096751199632,115.57015926168575,46.131173525975896,2.505250797415973,9012,262.9704830389055
regime_hold_case3_w66_22_12,regime_hold_case3,0.66,0.22,0.12,45662.360457958755,2183.118022897938,113.88384690926019,45.4625867348896,2.5050014767827036,9012,283.9784200518786
regime_hold_case3_w66_26_8,regime_hold_case3,0.66,0.26,0.08,47580.86003770866,2279.043001885433,116.03398813227925,46.34244912372559,2.5038380648051293,9012,270.18108988119855
regime_hold_case3_w64_28_8,regime_hold_case3,0.64,0.28,0.08,47954.610761848635,2297.7305380924317,116.44519853831237,46.55550662102195,2.5012121441662503,9012,276.4030892332687
regime_hold_case3_w62_30_8,regime_hold_case3,0.62,0.3,0.08,48282.0499728853,2314.1024986442653,116.80346681580991,46.770321083921154,2.4973843264027744,9012,281.6236085490347
regime_hold_case3_w60_32_8,regime_hold_case3,0.6,0.32,0.08,48562.16209401221,2328.1081047006105,117.10849530241126,46.98687054205983,2.4923663557798075,9012,285.84868091801366
regime_hold_case3_w64_20_16,regime_hold_case3,0.64,0.2,0.16,43994.82675157224,2099.741337578612,111.95869462840116,45.064139087900536,2.4844299013461333,9012,299.28350526485553
regime_hold_case3_w70_24_6,regime_hold_case3,0.7,0.24,0.06,47620.8149034132,2281.04074517066,116.07806400241488,46.84544889154153,2.4778941551219518,9012,246.4108593612386
regime_hold_case3_w68_26_6,regime_hold_case3,0.68,0.26,0.06,48051.45648244471,2302.5728241222355,116.55135482984961,47.05401343551151,2.47696947231899,9012,254.20606986668543
regime_hold_case3_w68_22_10,regime_hold_case3,0.68,0.22,0.1,46203.898342007604,2210.1949171003803,114.49759138588237,46.24640950785257,2.475815800715099,9012,270.2624495232184
regime_hold_case3_w66_28_6,regime_hold_case3,0.66,0.28,0.06,48436.6442810335,2321.8322140516752,116.97197763585851,47.2643401639107,2.474846305485377,9012,260.99381328145734
regime_hold_case3_w64_30_6,regime_hold_case3,0.64,0.3,0.06,48775.208311420734,2338.760415571037,117.33960181044183,47.47640495160148,2.471535111600393,9012,266.76458190266106
regime_hold_case3_w62_32_6,regime_hold_case3,0.62,0.32,0.06,49066.10724396041,2353.3053621980207,117.65392994320129,47.690185902812,2.467046997530449,9012,271.519657766777
regime_hold_case3_w60_34_6,regime_hold_case3,0.6,0.34,0.06,49308.43012633312,2365.421506316656,117.91469448907334,47.90566105202011,2.4613937455331505,9012,275.26415060072554
regime_hold_case3_w66_20_14,regime_hold_case3,0.66,0.2,0.14,44609.70266306337,2130.4851331531686,112.67489057982232,45.842324490713146,2.457879085137759,9012,288.555635367004
regime_hold_case3_w62_18_20,regime_hold_case3,0.62,0.18,0.2,42182.161356883,2009.10806784415,109.80227931853052,44.6913632395567,2.4569015433689794,9012,308.9712406415493
compression_case3_w60_24_16,compression_case3,0.6,0.24,0.16,36862.65351249842,1743.132675624921,103.03754721499247,42.03857031328958,2.451024058313881,9013,227.4363740134589
regime_hold_case3_w72_24_4,regime_hold_case3,0.72,0.24,0.04,48029.53445114083,2301.4767225570417,116.52733944497146,47.55340192661822,2.450452222635722,9012,228.10903755150787
regime_hold_case3_w70_26_4,regime_hold_case3,0.7,0.26,0.04,48471.61953852422,2323.580976926211,117.01004486532818,47.759278970369664,2.449996050776277,9012,236.49254625669164
regime_hold_case3_w68_28_4,regime_hold_case3,0.68,0.28,0.04,48868.00968004495,2343.4004840022476,117.44003124496274,47.96689814483942,2.4483557575548103,9012,243.86078603806894
compression_case3_w62_22_16,compression_case3,0.62,0.22,0.16,36525.69840994443,1726.2849204972217,102.58491948855246,41.92830546370797,2.4466745878234275,9013,221.76987561512274
regime_hold_case3_w70_22_8,regime_hold_case3,0.7,0.22,0.08,46699.07391138155,2234.953695569078,115.0540440845378,47.02562067573641,2.4466246788721637,9012,254.79900969539204
regime_hold_case3_w66_30_4,regime_hold_case3,0.66,0.3,0.04,49217.49974036905,2360.8749870184524,117.81695791256861,48.176237061957764,2.4455408952145508,9012,250.2036684530539
compression_case3_w64_22_14,compression_case3,0.64,0.22,0.14,37909.235283393544,1795.461764169677,104.42372590860978,42.72360223475693,2.4441695092755533,9013,220.61284744173156
compression_case3_w62_24_14,compression_case3,0.62,0.24,0.14,38265.26668293181,1813.2633341465905,104.88867771276134,42.942734185261635,2.4425244387154126,9013,226.7939949060491
regime_hold_case3_w64_32_4,regime_hold_case3,0.64,0.32,0.04,49519.01344847438,2375.950672423719,118.14051735609561,48.387273605563976,2.441561769301894,9012,255.51978602960617
compression_case3_w60_26_14,compression_case3,0.6,0.26,0.14,38585.295364809535,1829.2647682404765,105.30382606101148,43.16378018518849,2.439634008171187,9013,232.16411464402805
regime_hold_case3_w62_34_4,regime_hold_case3,0.62,0.34,0.04,49771.611776841295,2388.580588842065,118.41043884290113,48.5999861250973,2.436429478356442,9012,259.8117648417906
compression_case3_w60_22_18,compression_case3,0.6,0.22,0.18,35167.118357736814,1658.3559178868406,100.72723821189223,41.34784589738151,2.4360939735985405,9013,221.88190180725695
compression_case3_w66_22_12,compression_case3,0.66,0.22,0.12,39316.51995088608,1865.825997544304,106.24269619302984,43.61905015812215,2.4356948582762015,9013,218.3702652255694
compression_case3_w64_24_12,compression_case3,0.64,0.24,0.12,39692.341315943464,1884.6170657971734,106.72010569336096,43.83518124664841,2.4345765811455533,9013,225.0805590090096
regime_hold_case3_w64_18_18,regime_hold_case3,0.64,0.18,0.18,42860.944226140484,2043.047211307024,110.6178532769272,45.46341216908784,2.433118149282692,9012,301.1304785691788
compression_case3_w62_26_12,compression_case3,0.62,0.26,0.12,40030.959941557594,1901.54799707788,107.14733463480424,44.053207976885226,2.432225473591494,9013,230.94300734408537
regime_hold_case3_w68_20_12,regime_hold_case3,0.68,0.2,0.12,45182.444329045065,2159.1222164522533,113.33531842613476,46.61614174788804,2.4312462202273415,9012,276.0471963927631
regime_hold_case3_w60_36_4,regime_hold_case3,0.6,0.36,0.04,49974.505442900285,2398.7252721450145,118.62649696738154,48.81435295919686,2.4301560868079015,9012,263.080358501081
compression_case3_w60_28_12,compression_case3,0.6,0.28,0.12,40331.3698333423,1916.568491667115,107.52407233461132,44.27309731451216,2.428654845871068,9013,235.94462105476754
compression_case3_w66_24_10,compression_case3,0.66,0.24,0.1,41142.59061796612,1957.129530898306,108.53090162747026,44.71604613996736,2.427113105835736,9013,222.20203600088178
compression_case3_w64_26_10,compression_case3,0.64,0.26,0.1,41500.4207569536,1975.0210378476802,108.97024328672119,44.93107807751795,2.425275509719994,9013,228.59735318258885
compression_case3_w68_22_10,compression_case3,0.68,0.22,0.1,40746.326974072086,1937.3163487036043,108.04098337332432,44.57058728076654,2.424042175902561,9013,214.9251024640766
regime_hold_case3_w74_24_2,regime_hold_case3,0.74,0.24,0.02,48386.52037096525,2319.3260185482627,116.91738625059189,48.25503776948612,2.4229052893732086,9012,208.18983098367445
regime_hold_case3_w72_26_2,regime_hold_case3,0.72,0.26,0.02,48839.69843219507,2341.9849216097537,117.40940818979331,48.45825141849498,2.422898159816428,9012,217.17609383385985
compression_case3_w62_28_10,compression_case3,0.62,0.28,0.1,41818.75101429869,1990.937550714934,109.35868354925593,45.14794522363474,2.422229472627409,9013,234.10496120288806
regime_hold_case3_w70_28_2,regime_hold_case3,0.7,0.28,0.02,49246.99786668071,2362.349893334035,117.84867895752562,48.66318739002396,2.4217213314244357,9012,225.13710275390218
compression_case3_w62_20_18,compression_case3,0.62,0.2,0.18,34815.9765030198,1640.7988251509903,100.23828051319997,41.39493149159238,2.42151096526296,9013,215.92311732776466
compression_case3_w68_24_8,compression_case3,0.68,0.24,0.08,42614.59133124422,2030.729566562211,110.32010199851415,45.585425302929906,2.420073987802052,9013,218.05963741232216
regime_hold_case3_w68_30_2,regime_hold_case3,0.68,0.3,0.02,49607.17620574234,2380.358810287117,118.2348444569604,48.869824477324244,2.4193834482016965,9012,232.06338841789102
compression_case3_w66_26_8,compression_case3,0.66,0.26,0.08,42992.291323976984,2049.6145661988494,110.77163452694717,45.797496342817276,2.4187268600398113,9013,225.02644731706835
compression_case3_w60_30_10,compression_case3,0.6,0.3,0.1,42096.61111231067,2004.8305556155335,109.69591509558425,45.36662509104429,2.417987118844312,9013,238.7201982455032
regime_hold_case3_w72_22_6,regime_hold_case3,0.72,0.22,0.06,47146.007064380436,2257.300353219022,115.55246256943086,47.80014697152111,2.4174081020770912,9012,237.6261587541819
compression_case3_w64_28_8,compression_case3,0.64,0.28,0.08,43329.204532438074,2066.460226621904,111.17188038784498,46.011375426555,2.4161825061131132,9013,231.07545549416767
regime_hold_case3_w66_32_2,regime_hold_case3,0.66,0.32,0.02,49919.12973064289,2395.9564865321445,118.56759426249374,49.07814076479673,2.4158941723306095,9012,237.95059909603143
