policy_name,family,segment,tc_bps,turnover_mean,turnover_total,q1_p,q5_p,p_tail_1pct,p_tail_5pct,cvar_1pct,cvar_5pct,final_equity,total_return_pct,cagr_pct,mdd_pct,calmar,event_count,event_mean_return,event_worst_return,event_loss_pct,event_bar_neg_pct,event_mean_worst_dd,event_worst_dd_min,cvar1_loss,cvar5_loss,event_worst_loss
C_dyn_ddm0.12_ddd0.24_cm0.40_cd0.20_bc0.35_ac0.30_rc0.20_vr1.40_hl30,C_dynamic,train,1.0,0.000260100789881901,393.7000000000002,-0.003437475440977824,-0.0015876353498502792,0.010000369968103464,0.05000052852586209,-0.005432043201939798,-0.002861860408194537,8.876746715387226,787.6746715387226,113.51795350560145,58.907145757702416,1.9270659280034526,459.0,-0.014825980753203405,-0.09608730841918722,0.8954248366013072,0.478258896151053,-0.02651188185152119,-0.19009027281458046,0.005432043201939798,0.002861860408194537,0.09608730841918722
C_dyn_ddm0.12_ddd0.24_cm0.40_cd0.20_bc0.45_ac0.20_rc0.20_vr1.40_hl30,C_dynamic,train,1.0,0.000260100789881901,393.7000000000002,-0.003437475440977824,-0.0015876353498502792,0.010000369968103464,0.05000052852586209,-0.005432043201939798,-0.002861860408194537,8.876746715387226,787.6746715387226,113.51795350560145,58.907145757702416,1.9270659280034526,459.0,-0.014825980753203405,-0.09608730841918722,0.8954248366013072,0.478258896151053,-0.02651188185152119,-0.19009027281458046,0.005432043201939798,0.002861860408194537,0.09608730841918722
C_dyn_ddm0.12_ddd0.24_cm0.40_cd0.20_bc0.45_ac0.30_rc0.20_vr1.40_hl30,C_dynamic,train,1.0,0.000260100789881901,393.7000000000002,-0.003437475440977824,-0.0015876353498502792,0.010000369968103464,0.05000052852586209,-0.005432043201939798,-0.002861860408194537,8.876746715387226,787.6746715387226,113.51795350560145,58.907145757702416,1.9270659280034526,459.0,-0.014825980753203405,-0.09608730841918722,0.8954248366013072,0.478258896151053,-0.02651188185152119,-0.19009027281458046,0.005432043201939798,0.002861860408194537,0.09608730841918722
C_dyn_ddm0.10_ddd0.20_cm0.45_cd0.25_bc0.35_ac0.20_rc0.30_vr1.20_hl60,C_dynamic,train,1.0,0.00017814624839129946,269.6500000000001,-0.0034491557665861884,-0.0015987082156746267,0.010000369968103464,0.05000052852586209,-0.0054342688537272164,-0.002872071834519217,9.683792611985917,868.3792611985916,120.07142583386408,58.25159879242835,2.0612554560385936,459.0,-0.014989791335099445,-0.09637670322586522,0.9084967320261438,0.4902051561365287,-0.02669976652936461,-0.19020166814085837,0.0054342688537272164,0.002872071834519217,0.09637670322586522
C_dyn_ddm0.10_ddd0.20_cm0.45_cd0.25_bc0.35_ac0.30_rc0.30_vr1.20_hl60,C_dynamic,train,1.0,0.00017814624839129946,269.6500000000001,-0.0034491557665861884,-0.0015987082156746267,0.010000369968103464,0.05000052852586209,-0.0054342688537272164,-0.002872071834519217,9.683792611985917,868.3792611985916,120.07142583386408,58.25159879242835,2.0612554560385936,459.0,-0.014989791335099445,-0.09637670322586522,0.9084967320261438,0.4902051561365287,-0.02669976652936461,-0.19020166814085837,0.0054342688537272164,0.002872071834519217,0.09637670322586522
C_dyn_ddm0.10_ddd0.20_cm0.45_cd0.25_bc0.45_ac0.20_rc0.30_vr1.20_hl60,C_dynamic,train,1.0,0.00017814624839129946,269.6500000000001,-0.0034491557665861884,-0.0015987082156746267,0.010000369968103464,0.05000052852586209,-0.0054342688537272164,-0.002872071834519217,9.683792611985917,868.3792611985916,120.07142583386408,58.25159879242835,2.0612554560385936,459.0,-0.014989791335099445,-0.09637670322586522,0.9084967320261438,0.4902051561365287,-0.02669976652936461,-0.19020166814085837,0.0054342688537272164,0.002872071834519217,0.09637670322586522
C_dyn_ddm0.10_ddd0.20_cm0.45_cd0.25_bc0.45_ac0.30_rc0.30_vr1.20_hl60,C_dynamic,train,1.0,0.00017814624839129946,269.6500000000001,-0.0034491557665861884,-0.0015987082156746267,0.010000369968103464,0.05000052852586209,-0.0054342688537272164,-0.002872071834519217,9.683792611985917,868.3792611985916,120.07142583386408,58.25159879242835,2.0612554560385936,459.0,-0.014989791335099445,-0.09637670322586522,0.9084967320261438,0.4902051561365287,-0.02669976652936461,-0.19020166814085837,0.0054342688537272164,0.002872071834519217,0.09637670322586522
C_dyn_ddm0.10_ddd0.20_cm0.45_cd0.25_bc0.35_ac0.20_rc0.20_vr1.20_hl60,C_dynamic,train,1.0,0.00018131740356384989,274.45,-0.003448990946677381,-0.0015987521261381598,0.010000369968103464,0.05000052852586209,-0.005434694544735577,-0.0028721836971468723,9.738166704323639,873.8166704323639,120.49993545851811,58.239619325820534,2.069037140926065,459.0,-0.014985421339326024,-0.09637670322586522,0.9106753812636166,0.4901870007262164,-0.026690546920432007,-0.19020166814085837,0.005434694544735577,0.0028721836971468723,0.09637670322586522
C_dyn_ddm0.10_ddd0.20_cm0.45_cd0.25_bc0.35_ac0.30_rc0.20_vr1.20_hl60,C_dynamic,train,1.0,0.00018131740356384989,274.45,-0.003448990946677381,-0.0015987521261381598,0.010000369968103464,0.05000052852586209,-0.005434694544735577,-0.0028721836971468723,9.738166704323639,873.8166704323639,120.49993545851811,58.239619325820534,2.069037140926065,459.0,-0.014985421339326024,-0.09637670322586522,0.9106753812636166,0.4901870007262164,-0.026690546920432007,-0.19020166814085837,0.005434694544735577,0.0028721836971468723,0.09637670322586522
C_dyn_ddm0.10_ddd0.20_cm0.45_cd0.25_bc0.45_ac0.20_rc0.20_vr1.20_hl60,C_dynamic,train,1.0,0.00018131740356384989,274.45,-0.003448990946677381,-0.0015987521261381598,0.010000369968103464,0.05000052852586209,-0.005434694544735577,-0.0028721836971468723,9.738166704323639,873.8166704323639,120.49993545851811,58.239619325820534,2.069037140926065,459.0,-0.014985421339326024,-0.09637670322586522,0.9106753812636166,0.4901870007262164,-0.026690546920432007,-0.19020166814085837,0.005434694544735577,0.0028721836971468723,0.09637670322586522
