variant,overlay_name,core_weight,overlay_weight,rebalance_hours,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,fee_paid,rebalance_count,delta_cagr_vs_core85,delta_mdd_vs_core85,delta_calmar_vs_core85,meets_cagr_floor,is_live_overlay
gap12_reference_w3_rb168h,gap12_reference,0.97,0.03,168,48658.094807943395,2332.9047403971695,117.23134424409966,42.717102127707804,2.7443655680018453,7.323969522470003,215,-3.4050173778728094,-1.1386965302465555,-0.006384967015307108,True,True
gap12_reference_w7_rb24h,gap12_reference,0.9299999999999999,0.07,24,44830.47353149964,2141.523676574982,112.94806754046674,41.156506936839655,2.7443550472784572,36.706871984559186,1503,-7.688294081505731,-2.6992917211147045,-0.006395487738695138,True,True
study111_proxy_w2_rb24h,study111_proxy,0.98,0.02,24,49698.57841011208,2384.9289205056043,118.3514135741682,43.1354596546478,2.7437151364959655,11.209207317650078,1503,-2.2849480478042636,-0.720339003306556,-0.007035398521186842,True,True
gap12_reference_w4_rb4h,gap12_reference,0.96,0.04,4,47695.48769278623,2284.7743846393114,116.17884574277619,42.34445500619317,2.7436613772873972,48.349083320653484,9016,-4.457515879196279,-1.5113436517611873,-0.007089157729755158,True,True
gap12_reference_w8_rb24h,gap12_reference,0.92,0.08,24,43862.160621443116,2093.108031072156,111.82080607332652,40.76343874896795,2.743164205599745,40.81638645946449,1503,-8.815555548645946,-3.0923599089864098,-0.007586329417407445,True,True
gap12_reference_w4_rb168h,gap12_reference,0.96,0.04,168,47610.54140947526,2280.527070473763,116.0851972487376,42.334048482551204,2.7421236902628,9.501701854990845,215,-4.551164373234869,-1.521750175403156,-0.00862684475435227,True,True
buy_hold_reference_w6_rb168h,buy_hold_reference,0.94,0.06,168,46253.17237931539,2212.658618965769,114.5713317279029,41.7840696537358,2.74198594529816,12.170521251402695,215,-6.065029894069568,-2.071729004218561,-0.008764589718992521,True,True
study111_proxy_w2_rb168h,study111_proxy,0.98,0.02,168,49666.87610979899,2383.34380548995,118.31754980748595,43.15358965351408,2.7417777004757498,4.721093500855999,215,-2.318811814486523,-0.7022090044402773,-0.00897283454140263,True,True
gap12_reference_w5_rb4h,gap12_reference,0.95,0.05,4,46676.85594626189,2233.8427973130943,115.04743283939231,41.96188253596396,2.7417128566810476,58.82763803596333,9016,-5.588928782580155,-1.8939161219904008,-0.009037678336104804,True,True
study111_exact_w2_rb24h,study111_exact,0.98,0.02,24,49601.33054083996,2380.066527041998,118.24748341770955,43.135459654647654,2.7413057462335146,11.14743991880877,1503,-2.388878204262923,-0.7203390033067052,-0.009444788783637748,True,True
study111_proxy_w2_rb4h,study111_proxy,0.98,0.02,4,49604.33257922867,2380.2166289614333,118.25069404419408,43.14527447993418,2.740756559543725,23.625650665461105,9016,-2.385667577778392,-0.7105241780201794,-0.009993975473427508,True,True
gap12_reference_w10_rb24h,gap12_reference,0.9,0.1,24,41956.645382226954,1997.8322691113476,109.54630923350427,39.971677234304714,2.7405982638999404,48.2585792441392,1503,-11.090052388468195,-3.8841214236496455,-0.010152271117211953,True,True
