side,threshold_pct,hold_hours,events,tp_pct,sl_pct,expectancy_pct,median_return_pct,win_rate_pct,tp_hit_rate_pct,stop_hit_rate_pct,timeout_rate_pct,avg_hold_hours,profit_factor
long,4.0,48,610,1.0,4.0,-0.20004385663971522,0.92,74.42622950819671,72.29508196721312,18.852459016393443,8.852459016393443,14.217622950819672,0.7699721548186038
long,4.0,48,610,1.0,5.0,-0.26985928702244605,0.92,75.24590163934425,73.11475409836066,15.40983606557377,11.475409836065573,15.83811475409836,0.7150398262694379
long,4.0,48,610,1.0,6.0,-0.32013914393836856,0.92,75.73770491803279,73.60655737704917,12.295081967213115,14.098360655737704,16.634836065573772,0.6804397313000519
long,4.0,48,610,1.0,8.0,-0.31187518097761996,0.92,76.72131147540983,74.59016393442623,6.065573770491803,19.34426229508197,17.770491803278688,0.688932565261799
long,4.0,48,610,1.5,1.0,-0.06814363231854098,-1.08,41.967213114754095,37.868852459016395,57.540983606557376,4.590163934426229,9.055737704918032,0.8906563247408131
long,4.0,48,610,1.5,1.5,-0.06316982242020185,0.19838031696175712,51.47540983606558,46.22950819672131,46.0655737704918,7.704918032786885,11.919262295081968,0.914590907073257
long,4.0,48,610,1.5,2.0,-0.0848669132340212,1.42,57.377049180327866,52.131147540983605,40.0,7.868852459016394,13.454508196721312,0.8995794605892025
long,4.0,48,610,1.5,3.0,-0.1198554567127417,1.42,64.42622950819671,59.01639344262295,30.0,10.98360655737705,16.84426229508197,0.8775352427344189
long,4.0,48,610,1.5,4.0,-0.2127903333282123,1.42,66.88524590163935,61.31147540983607,23.442622950819672,15.245901639344261,19.84877049180328,0.8073784477335795
long,4.0,48,610,1.5,5.0,-0.2821367181888808,1.42,67.54098360655738,61.967213114754095,18.688524590163937,19.34426229508197,21.83688524590164,0.7615809105973369
long,4.0,48,610,1.5,6.0,-0.2766655296280886,1.42,68.52459016393443,62.78688524590164,13.442622950819672,23.770491803278688,22.95204918032787,0.7675088304928716
long,4.0,48,610,1.5,8.0,-0.23583354292603365,1.42,69.50819672131148,63.77049180327868,6.065573770491803,30.16393442622951,24.255737704918033,0.7972440070566252
long,4.0,48,610,2.0,1.0,-0.023595614114503127,-1.08,37.868852459016395,31.475409836065577,61.63934426229508,6.885245901639345,10.966803278688525,0.9646490852249937
long,4.0,48,610,2.0,1.5,0.017856912243589654,-0.6904714598935301,48.032786885245905,39.18032786885246,49.18032786885246,11.639344262295081,14.675819672131148,1.0226169360516655
long,4.0,48,610,2.0,2.0,0.011015068257988968,0.4382852889627276,53.93442622950819,44.75409836065574,42.786885245901644,12.459016393442624,16.68483606557377,1.0121588460844397
