rank_by_final_equity,period_start,period_end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_amount,calmar_ratio,annual_volatility_pct,sharpe_365,sortino_365,trades,long_trades,short_trades,win_rate_pct,long_win_rate_pct,short_win_rate_pct,gross_profit,gross_loss,net_pnl_sum,profit_factor,avg_pnl_per_trade,median_pnl_per_trade,avg_return_pct_per_trade,median_return_pct_per_trade,avg_holding_hours,median_holding_hours,max_consecutive_wins,max_consecutive_losses,best_trade_pnl,worst_trade_pnl,best_trade_reason,worst_trade_reason,case_id,band,band_pct,take_profit_pct,stop_loss_pct,entry_scale,worst_month,max_dd_peak_time,max_dd_trough_time,max_dd_recovery_time,max_dd_peak_to_trough_days,max_dd_recovery_days
11,2022-01-01 03:20:00,2026-02-12,2788.568827550594,178.8568827550594,28.32342873709468,70.28198990770183,2270.020874332503,0.4029969665669763,82.21637323049643,0.6634210628039201,0.8949525096562779,199,144,55,77.88944723618091,99.30555555555556,21.818181818181817,13872.165449373662,-8393.683232269657,5478.482217104005,1.6526910851295755,27.530061392482438,21.627947801130418,2.7530061392482437,2.1627947801130416,268.98123953098826,14.933333333333334,48,12,2266.6018238526754,-5494.058866763372,Final Hedge Close,Final Close,h1.00_tp1.60_sl2.00,0.01,1.0,0.016,0.02,0.4,2024-04 (-50.0249%),2024-03-12 11:24:00,2024-05-20 01:36:00,2024-11-29 14:54:00,68.59166666666667,262.1458333333333
12,2022-01-01 03:20:00,2026-02-12,2606.465170621126,160.64651706211262,26.233244751692396,53.76469191950618,1432.6011177767687,0.4879269984652289,67.55220539801788,0.6785242484898447,0.8035844168092557,583,541,42,93.99656946826758,99.81515711645102,19.047619047619047,12583.942198193656,-5211.206316420357,7372.7358817732975,2.414784875920576,12.646202198581985,8.219900081123967,1.2646202198581984,0.8219900081123968,84.98945111492282,3.3666666666666667,106,10,2071.190565867921,-2432.343132908396,Final Hedge Close,Final Close,h2.00_tp0.80_sl4.00,0.02,2.0,0.008,0.04,0.4,2025-01 (-22.6377%),2024-03-13 11:46:00,2024-05-22 12:52:00,2024-12-16 14:47:00,70.04583333333333,278.12569444444443
13,2022-01-01 03:20:00,2026-02-12,2504.478197158651,150.44781971586508,25.013920137675562,73.2710681563531,2009.6455870498228,0.34138877413794994,89.07128396638835,0.6349577983832759,0.8615213518591557,172,117,55,74.4186046511628,99.14529914529915,21.818181818181817,12827.014748838827,-7380.210921491791,5446.803827347036,1.7380282061431995,31.667464112482765,24.82288254894934,3.166746411248276,2.482288254894934,312.1657945736434,22.108333333333334,30,12,1973.0450864394836,-4350.473397390347,Final Hedge Close,Final Close,h1.00_tp1.60_sl4.00,0.01,1.0,0.016,0.04,0.4,2024-04 (-52.2428%),2024-03-12 11:24:00,2024-05-20 01:36:00,2025-07-16 17:02:00,68.59166666666667,491.2347222222222
14,2022-01-01 03:20:00,2026-02-12,1658.25851889887,65.825851889887,13.087369177731079,66.564138262969,1013.2483518914917,0.19661291378892307,71.8033717071097,0.5241692763560601,0.63778877193381,577,541,36,94.97400346620451,99.81515711645102,22.22222222222222,8978.465234832112,-4145.565991782125,4832.8992430499875,2.165799616416765,8.37590856681107,5.727432705810736,0.837590856681107,0.5727432705810737,84.6600519930676,3.25,105,8,1317.7116037560493,-1547.480383200106,Final Hedge Close,Final Close,h3.00_tp0.80_sl4.00,0.03,3.0,0.008,0.04,0.4,2024-10 (-26.8798%),2022-02-06 15:01:00,2023-10-23 00:25:00,2024-02-27 12:33:00,623.3916666666667,750.8972222222222
15,2022-01-01 03:20:00,2026-02-12,1386.5987606826482,38.659876068264815,8.27270733351706,57.810781409577906,1237.17317518865,0.14309973212274318,61.33167255101949,0.4320847355915906,0.4883885939281888,549,507,42,93.6247723132969,99.80276134122288,19.047619047619047,10356.967838893715,-5420.571112586944,4936.396726306772,1.910678344361928,8.991615166314702,7.4035425987143295,0.8991615166314703,0.740354259871433,95.99335154826957,3.1,128,10,1193.2310740676446,-2877.737229150179,Final Hedge Close,Final Close,h2.00_tp0.80_sl2.00,0.02,2.0,0.008,0.02,0.4,2024-04 (-31.2980%),2024-03-12 15:11:00,2025-04-24 08:35:00,2025-07-16 20:23:00,407.725,491.21666666666664
16,2022-01-01 03:20:00,2026-02-12,1208.000525492539,20.800052549253905,4.702423814800172,80.48505593809944,1515.2634187112053,0.05842604891045584,73.7145515759295,0.42994779695699437,0.4643525748269699,186,144,42,81.18279569892472,99.30555555555556,19.047619047619047,8055.903870335687,-5564.05920028706,2491.8446700486274,1.4478465415896489,13.397014355100147,15.94523885334179,1.3397014355100145,1.5945238853341788,290.3401433691756,13.341666666666667,48,10,1129.6656685027242,-2932.74002723718,Final Hedge Close,Final Close,h2.00_tp1.60_sl2.00,0.02,2.0,0.016,0.02,0.4,2024-04 (-60.1345%),2024-03-12 11:24:00,2024-04-12 18:35:00,2025-07-18 01:18:00,31.299305555555556,492.57916666666665
17,2022-01-01 03:20:00,2026-02-12,1054.4197039394987,5.441970393949873,1.2969405468091333,83.43679110822922,1844.288547331015,0.01554398880377386,78.08796961487836,0.404660471436126,0.43062947738209245,159,117,42,77.9874213836478,99.14529914529915,19.047619047619047,7294.838538700584,-4900.639483614961,2394.199055085622,1.4885482931544964,15.057855692362404,19.16618709510831,1.50578556923624,1.9166187095108307,340.68249475890985,16.95,30,10,1039.5908784419564,-2161.9514059396947,Hedge Close Trend Up,Final Close,h2.00_tp1.60_sl4.00,0.02,2.0,0.016,0.04,0.4,2024-04 (-63.2777%),2024-03-12 11:24:00,2024-04-12 18:35:00,,31.299305555555556,
18,2022-01-01 03:20:00,2026-02-12,990.8459971018842,-0.9154002898115777,-0.22337842034543254,69.17548879692121,1062.1461648533036,-0.003229155647908836,65.2414995686751,0.3165815730826144,0.3690151619778976,543,507,36,94.65930018416206,99.80276134122288,22.22222222222222,7804.647031862056,-4298.481220562707,3506.1658112993496,1.8156754982496732,6.457027276794382,5.495516457664532,0.6457027276794383,0.5495516457664532,95.76491712707183,3.05,128,8,901.8919070530162,-1881.5561304255473,Hedge Close Trend Up,Final Close,h3.00_tp0.80_sl2.00,0.03,3.0,0.008,0.02,0.4,2024-04 (-33.8977%),2024-03-12 15:11:00,2025-04-30 13:59:00,2025-08-08 10:05:00,413.95,513.7875
19,2022-01-01 03:20:00,2026-02-12,794.1057549229246,-20.589424507707545,-5.451892678396253,85.08506845601997,1388.7716921835863,-0.06407578647262073,80.94093062266614,0.33277704740344133,0.37030759377137246,180,144,36,83.88888888888889,99.30555555555556,22.22222222222222,6080.501075463311,-4515.151860128238,1565.3492153350735,1.34668805476027,8.696384529639298,11.947197376138854,0.8696384529639297,1.1947197376138854,296.12925925925924,12.658333333333333,48,8,866.1668108188894,-2018.7432109724903,Hedge Close Trend Up,Final Close,h3.00_tp1.60_sl2.00,0.03,3.0,0.016,0.02,0.4,2024-04 (-66.9642%),2024-03-12 11:24:00,2024-04-12 18:35:00,2025-08-11 04:05:00,31.299305555555556,516.6951388888889
20,2022-01-01 03:20:00,2026-02-12,734.0136842233914,-26.598631577660864,-7.243894589257627,88.01996764487271,1686.0675499531526,-0.08229831006623409,87.08851428372347,0.3427623100886625,0.38235912863764704,153,117,36,81.04575163398692,99.14529914529915,22.22222222222222,5542.685905135397,-3992.7137337756176,1549.9721713597792,1.388200175296335,10.130537067710975,17.46966884954141,1.0130537067710972,1.746966884954141,349.4674291938998,15.25,30,8,960.8733800535647,-1375.9995438673025,Hedge Close Trend Up,Final Close,h3.00_tp1.60_sl4.00,0.03,3.0,0.016,0.04,0.4,2024-04 (-70.5884%),2024-03-12 11:24:00,2024-04-12 18:35:00,,31.299305555555556,
